branch_id_dominant,ecotype_label,n_samples,branch_total_samples,fraction_within_branch,PC1_mean,PC2_mean,theta_eff_mean,sigma_eff_mean,mu_shift_from_dx_mean
GMP-like basin,E1_LateErythrocyte_CD8Memory,1,3,0.3333333333333333,0.6495687742102512,-0.570439964409788,0.456549916788016,0.8352122734643448,0.36677210620097966
GMP-like basin,E2_BCell_CD4Naive,1,3,0.3333333333333333,0.6495687742102512,-0.570439964409788,0.456549916788016,0.8352122734643448,0.36677210620097966
GMP-like basin,E3_NK_CD8Memory,1,3,0.3333333333333333,0.6495687742102512,-0.570439964409788,0.456549916788016,0.8352122734643448,0.36677210620097966
HSC-like basin,E1_LateErythrocyte_CD8Memory,6,14,0.42857142857142855,0.49094836142589626,0.14452968807475167,0.4323006046653128,0.8612640654430973,0.32787147797806415
HSC-like basin,E3_NK_CD8Memory,5,14,0.35714285714285715,0.49094836142589626,0.14452968807475167,0.4323006046653128,0.8612640654430973,0.32787147797806415
HSC-like basin,E4_CD4Naive_CD8Naive,2,14,0.14285714285714285,0.49094836142589626,0.14452968807475167,0.4323006046653128,0.8612640654430973,0.32787147797806415
HSC-like basin,E2_BCell_CD4Naive,1,14,0.07142857142857142,0.49094836142589626,0.14452968807475167,0.4323006046653128,0.8612640654430973,0.32787147797806415
Mono/DC-like basin,E1_LateErythrocyte_CD8Memory,5,11,0.45454545454545453,-0.6467858460689202,-0.3279960992318177,0.49642005845150067,0.8178225944444186,0.28739461526070115
Mono/DC-like basin,E2_BCell_CD4Naive,4,11,0.36363636363636365,-0.6467858460689202,-0.3279960992318177,0.49642005845150067,0.8178225944444186,0.28739461526070115
Mono/DC-like basin,E4_CD4Naive_CD8Naive,2,11,0.18181818181818182,-0.6467858460689202,-0.3279960992318177,0.49642005845150067,0.8178225944444186,0.28739461526070115
Progenitor-like basin,E1_LateErythrocyte_CD8Memory,5,15,0.3333333333333333,1.050763536340096,-0.43473462436443666,0.6570764110973909,0.5871452629132066,0.5237961911571394
Progenitor-like basin,E4_CD4Naive_CD8Naive,5,15,0.3333333333333333,1.050763536340096,-0.43473462436443666,0.6570764110973909,0.5871452629132066,0.5237961911571394
Progenitor-like basin,E3_NK_CD8Memory,4,15,0.26666666666666666,1.050763536340096,-0.43473462436443666,0.6570764110973909,0.5871452629132066,0.5237961911571394
Progenitor-like basin,E2_BCell_CD4Naive,1,15,0.06666666666666667,1.050763536340096,-0.43473462436443666,0.6570764110973909,0.5871452629132066,0.5237961911571394
