replicate,ari,state_accuracy
0,0.0,0.95
1,0.3303964757709251,0.8
2,0.055087987758225,0.65
3,0.3979933110367894,0.9
4,0.27350427350427337,0.85
5,0.274116523400191,0.8
6,0.21227197346600338,0.75
7,0.4643449419568823,0.85
8,1.0,1.0
9,0.7852468768590125,0.95
10,0.7192409394929227,0.95
11,0.0,0.8
12,0.6025104602510462,0.95
13,1.0,1.0
14,0.1156914893617021,0.7
15,0.4327362135581313,0.85
16,0.6208425720620843,0.9
17,0.27350427350427337,0.85
18,0.3303964757709251,0.8
19,0.0,0.95
20,0.6217232607012498,0.9
21,0.3202906651760761,0.8
22,1.0,1.0
23,1.0,1.0
24,0.0,0.95
25,0.32750801902444415,0.8
26,0.0,0.85
27,1.0,1.0
28,0.11881625441696111,0.7
29,0.4657624875951042,0.85
30,1.0,1.0
31,0.274116523400191,0.8
32,0.3286219081272085,0.8
33,0.27350427350427337,0.85
34,0.45567913717559827,0.85
35,1.0,1.0
36,0.4327362135581313,0.85
37,0.3979933110367894,0.9
38,1.0,1.0
39,0.04168052322358942,0.65
40,0.21087606600952485,0.75
41,0.1299303944315544,0.75
42,0.6210106382978723,0.9
43,1.0,1.0
44,1.0,1.0
45,0.5175624206517139,0.9
46,0.3824091778202676,0.85
47,0.19080068143100504,0.75
48,0.7999113180356945,0.95
49,0.6217232607012498,0.9
50,0.3824091778202676,0.85
51,1.0,1.0
52,0.0,0.8
53,0.7950028392958546,0.95
54,0.11881625441696111,0.7
55,0.6215139442231076,0.9
56,0.6061722708429295,0.9
57,0.27350427350427337,0.85
58,0.3251193251193252,0.8
59,0.5175624206517139,0.9
60,0.6061722708429295,0.9
61,0.11421911421911428,0.7
62,0.3286219081272085,0.8
63,0.6061722708429295,0.9
64,0.13270296706879697,0.7
65,0.0,0.8
66,0.189873417721519,0.8
67,0.8000886033890796,0.95
68,0.7950028392958546,0.95
69,0.3824091778202676,0.85
70,0.3979933110367894,0.9
71,0.6208425720620843,0.9
72,0.11421911421911428,0.7
73,0.45567913717559827,0.85
74,-0.056622851365015076,0.55
75,0.13071895424836605,0.7
76,0.3286219081272085,0.8
77,0.4605277808707271,0.85
78,0.4643449419568823,0.85
79,0.45567913717559827,0.85
80,0.2101762554040572,0.75
81,0.764391071661663,0.95
82,0.4643449419568823,0.85
83,0.0,0.75
84,1.0,1.0
85,0.6176634991615427,0.9
86,1.0,1.0
87,0.3259423503325942,0.8
88,0.3251193251193252,0.8
89,0.1235584843492586,0.7
90,0.0810686319668355,0.7
91,1.0,1.0
92,0.2460317460317461,0.8
93,0.45567913717559827,0.85
94,0.32750801902444415,0.8
95,0.4643449419568823,0.85
96,0.3251193251193252,0.8
97,1.0,1.0
98,1.0,1.0
99,0.3259423503325942,0.8
