scenario,replicate,parameter,truth,estimate,error,abs_error,sq_error
brownian,0,drift,0.15,0.2745515776489839,0.12455157764898392,0.12455157764898392,0.01551309549485087
brownian,0,sigma,0.3,0.1856185754375441,-0.1143814245624559,0.1143814245624559,0.01308311028493679
ou,0,theta,0.8,1.1411090763642588,0.3411090763642588,0.3411090763642588,0.11635540197807774
ou,0,mu,0.2,0.26540628588946324,0.06540628588946323,0.06540628588946323,0.004277982233854197
ou,0,sigma,0.25,0.2168369052315365,-0.03316309476846349,0.03316309476846349,0.0010997908546220906
shifted_ou,0,theta,0.7,3.798960070404782,3.0989600704047824,3.0989600704047824,9.603553517963213
shifted_ou,0,mu0,0.1,0.17605872875219067,0.07605872875219066,0.07605872875219066,0.0057849302193993144
shifted_ou,0,delta,0.6,0.14536021837154484,-0.45463978162845514,0.45463978162845514,0.20669733103916937
shifted_ou,0,sigma,0.2,0.23868174477706305,0.03868174477706304,0.03868174477706304,0.001496277378997844
brownian,1,drift,0.15,0.10593885281227229,-0.0440611471877277,0.0440611471877277,0.001941384691498605
brownian,1,sigma,0.3,0.2558087610499092,-0.044191238950090805,0.044191238950090805,0.0019528655999440227
ou,1,theta,0.8,0.932944224580692,0.132944224580692,0.132944224580692,0.017674166849361468
ou,1,mu,0.2,-0.017461179769146167,-0.21746117976914617,0.21746117976914617,0.047289364706588906
ou,1,sigma,0.25,0.21269721100198893,-0.037302788998011066,0.037302788998011066,0.0013914980670301355
shifted_ou,1,theta,0.7,0.5190337554417919,-0.1809662445582081,0.1809662445582081,0.03274878166950118
shifted_ou,1,mu0,0.1,-0.027600893890897395,-0.1276008938908974,0.1276008938908974,0.016281988121756057
shifted_ou,1,delta,0.6,0.6293400976809013,0.02934009768090129,0.02934009768090129,0.0008608413319248292
shifted_ou,1,sigma,0.2,0.1599562503793866,-0.04004374962061341,0.04004374962061341,0.0016035018836783768
brownian,2,drift,0.15,0.22306051166522792,0.07306051166522792,0.07306051166522792,0.0053378383647849055
brownian,2,sigma,0.3,0.2774793701520284,-0.022520629847971596,0.022520629847971596,0.0005071787687493492
ou,2,theta,0.8,2.048748221311785,1.248748221311785,1.248748221311785,1.559372120229347
ou,2,mu,0.2,0.026790419524428198,-0.1732095804755718,0.1732095804755718,0.030001558768523586
ou,2,sigma,0.25,0.21210276140299703,-0.037897238597002975,0.037897238597002975,0.001436200693278172
shifted_ou,2,theta,0.7,1.962610174839118,1.262610174839118,1.262610174839118,1.5941844536072682
shifted_ou,2,mu0,0.1,0.16749644984113887,0.06749644984113887,0.06749644984113887,0.004555770741157375
shifted_ou,2,delta,0.6,0.43595694888213865,-0.16404305111786133,0.16404305111786133,0.026910122620057264
shifted_ou,2,sigma,0.2,0.25579075298918486,0.055790752989184844,0.055790752989184844,0.0031126081191002377
brownian,3,drift,0.15,0.035890356902107096,-0.1141096430978929,0.1141096430978929,0.013021010647928497
brownian,3,sigma,0.3,0.2553857183276839,-0.04461428167231607,0.04461428167231607,0.0019904341291367574
ou,3,theta,0.8,0.904952016100548,0.10495201610054794,0.10495201610054794,0.011014925683569675
ou,3,mu,0.2,-0.01389579276416969,-0.2138957927641697,0.2138957927641697,0.04575141016221263
ou,3,sigma,0.25,0.2601829231800745,0.010182923180074521,0.010182923180074521,0.000103691924491299
shifted_ou,3,theta,0.7,0.9880570206581342,0.2880570206581342,0.2880570206581342,0.08297684715044076
