replicate,n_observations,sigma_calibrated,simulated_total_displacement,simulated_max_interval_displacement
0,24,0.22638386790577045,0.0802703776874354,0.44756507953610203
1,24,0.22638386790577045,0.07032129583925359,0.3920872155887901
2,24,0.22638386790577045,0.08168015675687984,0.3008703103220874
3,24,0.22638386790577045,0.1854288344245936,0.3934477444430767
4,24,0.22638386790577045,0.08523135631808122,0.42623289953942994
5,24,0.22638386790577045,0.01279415323304206,0.33923416122750716
6,24,0.22638386790577045,0.12334058889309686,0.37718331081512424
7,24,0.22638386790577045,0.18415784875388377,0.3240455434507356
8,24,0.22638386790577045,0.09988317769366926,0.4781359317729734
9,24,0.22638386790577045,0.2523350125900846,0.5555287730102405
10,24,0.22638386790577045,0.07681405089165598,0.36284346353739017
11,24,0.22638386790577045,0.05963099689334136,0.5045199030838852
12,24,0.22638386790577045,0.13834819948661792,0.441608616445564
13,24,0.22638386790577045,0.25472543262181696,0.36546089037859586
14,24,0.22638386790577045,0.2412186754934344,0.4968857458691166
15,24,0.22638386790577045,0.1365431495703832,0.33920533174295997
16,24,0.22638386790577045,0.08867296112062559,0.3083124754169748
17,24,0.22638386790577045,0.1109709568800652,0.3768092442716203
18,24,0.22638386790577045,0.12611517347010429,0.3293575910227405
19,24,0.22638386790577045,0.16716493489708864,0.4913637091411173
20,24,0.22638386790577045,0.16281178780617594,0.34653298982732184
21,24,0.22638386790577045,0.1615919892665825,0.46854814072790396
22,24,0.22638386790577045,0.14881214124480838,0.6913968036744497
23,24,0.22638386790577045,0.19751388031191242,0.30492749823764165
24,24,0.22638386790577045,0.33374403588726514,0.4197867349624213
25,24,0.22638386790577045,0.10320947064766237,0.3785280830698369
26,24,0.22638386790577045,0.42457947091939174,0.3375587165353513
27,24,0.22638386790577045,0.05783467774101561,0.36456283548776186
28,24,0.22638386790577045,0.06010227575140439,0.3801240224312423
29,24,0.22638386790577045,0.05259379724124978,0.3766048444430561
30,24,0.22638386790577045,0.2070727192109021,0.40394442211365067
31,24,0.22638386790577045,0.2529902257860672,0.34166408402697285
32,24,0.22638386790577045,0.0014643247379466096,0.3197134445944451
33,24,0.22638386790577045,0.03671341815518961,0.3125310942693328
34,24,0.22638386790577045,0.11781740679588755,0.4703360144558565
35,24,0.22638386790577045,0.05837636937629574,0.4572705532550583
36,24,0.22638386790577045,0.0614993453468855,0.46393073298359155
37,24,0.22638386790577045,0.08662568277471208,0.48170540008379614
38,24,0.22638386790577045,0.2707471981260118,0.42863781242309423
39,24,0.22638386790577045,0.11481705467382651,0.4028990744054665
40,24,0.22638386790577045,0.03512037723636893,0.408841083790295
41,24,0.22638386790577045,0.15595090179492072,0.43775289194837047
42,24,0.22638386790577045,0.013174456328197966,0.38919821688819034
43,24,0.22638386790577045,0.4333860802888704,0.42595764082932097
44,24,0.22638386790577045,0.5104859123471243,0.38216809087720094
45,24,0.22638386790577045,0.05906876819997713,0.5012524538749314
46,24,0.22638386790577045,0.34982635430360454,0.38998659649984885
47,24,0.22638386790577045,0.03923425530853279,0.3972633860474659
48,24,0.22638386790577045,0.09077466883949341,0.407611850733836
49,24,0.22638386790577045,0.023675763134216855,0.2495875711034597
50,24,0.22638386790577045,0.20806419892013672,0.6095564036082866
51,24,0.22638386790577045,0.4915983116175774,0.42323025801827174
52,24,0.22638386790577045,0.11096214396898686,0.4335176949740566
53,24,0.22638386790577045,0.02761128006511563,0.3557118333918507
54,24,0.22638386790577045,0.4241768780023317,0.39861568152983884
55,24,0.22638386790577045,0.4007518128754437,0.34761528480266546
56,24,0.22638386790577045,0.21328836516032518,0.4125482525774019
57,24,0.22638386790577045,0.12639083561965064,0.42186067480183026
58,24,0.22638386790577045,0.014666840703331532,0.3187759761004888
59,24,0.22638386790577045,0.15472273812454568,0.5620953361357204
60,24,0.22638386790577045,0.24111504747807683,0.31080275943842034
61,24,0.22638386790577045,0.10428149420428583,0.5831126259715914
62,24,0.22638386790577045,0.025816653587599214,0.31922335437418864
63,24,0.22638386790577045,0.2574801896967719,0.5214223221970489
64,24,0.22638386790577045,0.19942663976092675,0.6349157705772013
65,24,0.22638386790577045,0.03157129660726753,0.26441291747495965
66,24,0.22638386790577045,0.044313749031070326,0.3641382201907991
67,24,0.22638386790577045,0.29115771530523615,0.3729515255457775
68,24,0.22638386790577045,0.055745722039146364,0.3006229085987646
69,24,0.22638386790577045,0.019082942585070303,0.3925302458658162
70,24,0.22638386790577045,0.24530440491128033,0.5070116946522025
71,24,0.22638386790577045,0.25883800684534847,0.441566610560065
72,24,0.22638386790577045,0.12478056604430536,0.4155654926567575
73,24,0.22638386790577045,0.11101382887898459,0.38044284797875927
74,24,0.22638386790577045,0.07836971563859546,0.34544855468169633
75,24,0.22638386790577045,0.2706982135092987,0.4125240050410226
76,24,0.22638386790577045,0.06433974453909798,0.5714693309283394
77,24,0.22638386790577045,0.21748738235056103,0.29182637176420145
78,24,0.22638386790577045,0.07066592132839078,0.37684472436199795
79,24,0.22638386790577045,0.18116016814105784,0.25573970543618196
80,24,0.22638386790577045,0.4692468954491806,0.5205998350916362
81,24,0.22638386790577045,0.07185541166191496,0.5241995676961082
82,24,0.22638386790577045,0.25248657608435965,0.38457383726784605
83,24,0.22638386790577045,0.10430625136030457,0.3029253939214308
84,24,0.22638386790577045,0.17111566815190432,0.38485371042991356
85,24,0.22638386790577045,0.34965279860786097,0.41503650323693253
86,24,0.22638386790577045,0.34233244860911427,0.4409186319609799
87,24,0.22638386790577045,0.034505717603937676,0.49795769230757664
88,24,0.22638386790577045,0.04176561550030353,0.29341435305785074
89,24,0.22638386790577045,0.18797177240556356,0.35340811835130514
90,24,0.22638386790577045,0.13064935368835873,0.524289239261609
91,24,0.22638386790577045,0.21009021636513045,0.40502851386242744
92,24,0.22638386790577045,0.645189621471958,0.40361819378601504
93,24,0.22638386790577045,0.2724337370412142,0.3983925526534111
94,24,0.22638386790577045,0.09586392751063477,0.4488297757771068
95,24,0.22638386790577045,0.23460648779608173,0.3994647532333253
96,24,0.22638386790577045,0.1713352673101006,0.48514800908780165
97,24,0.22638386790577045,0.11404478018104107,0.29002220592660183
98,24,0.22638386790577045,0.2730843024575058,0.4479425092493926
