component,event_distance,identification_rate,ci_low,ci_high,n
Branch,0.0,0.24,0.08,0.4,25
Branch,0.5,0.16,0.04,0.32,25
Branch,1.0,0.16,0.04,0.32,25
Branch,1.5,0.12,0.0,0.28,25
Branch,2.0,0.32,0.16,0.52,25
Branch,2.5,0.36,0.2,0.56,25
Branch,3.0,0.16,0.04,0.32,25
Jump,0.0,0.2,0.08,0.36,25
Jump,0.5,0.4,0.2,0.6,25
Jump,1.0,0.24,0.08,0.4,25
Jump,1.5,0.2,0.04,0.36,25
Jump,2.0,0.24,0.08,0.4,25
Jump,2.5,0.36,0.2,0.56,25
Jump,3.0,0.24,0.08,0.4,25
Treatment,0.0,0.48,0.28,0.68,25
Treatment,0.5,0.52,0.32,0.72,25
Treatment,1.0,0.32,0.16,0.48,25
Treatment,1.5,0.28,0.12,0.48,25
Treatment,2.0,0.52,0.32,0.72,25
Treatment,2.5,0.36,0.19900000000000007,0.56,25
Treatment,3.0,0.52,0.32,0.72,25
