panel,scenario,parameter,panel_title,symbol,replicate,truth,estimate,error,absolute_error,squared_error
A,brownian,drift,Brownian drift recovery,$\beta$,0,0.15,0.2745515776489839,0.12455157764898392,0.12455157764898392,0.01551309549485087
A,brownian,drift,Brownian drift recovery,$\beta$,1,0.15,0.1059388528122722,-0.0440611471877278,0.0440611471877278,0.0019413846914986134
A,brownian,drift,Brownian drift recovery,$\beta$,2,0.15,0.2230605116652279,0.0730605116652279,0.0730605116652279,0.005337838364784901
A,brownian,drift,Brownian drift recovery,$\beta$,3,0.15,0.035890356902107,-0.114109643097893,0.114109643097893,0.01302101064792852
A,brownian,drift,Brownian drift recovery,$\beta$,4,0.15,0.0495821088295236,-0.10041789117047639,0.10041789117047639,0.01008375286712564
A,brownian,drift,Brownian drift recovery,$\beta$,5,0.15,0.14002438626784,-0.009975613732159994,0.009975613732159994,9.951286933325903e-05
A,brownian,drift,Brownian drift recovery,$\beta$,6,0.15,0.194610973804444,0.04461097380444401,0.04461097380444401,0.0019901389837807897
A,brownian,drift,Brownian drift recovery,$\beta$,7,0.15,0.3559891912450718,0.20598919124507178,0.20598919124507178,0.04243154690979876
A,brownian,drift,Brownian drift recovery,$\beta$,8,0.15,0.3505453444272363,0.2005453444272363,0.2005453444272363,0.04021843517143883
A,brownian,drift,Brownian drift recovery,$\beta$,9,0.15,0.2627642649819371,0.11276426498193712,0.11276426498193712,0.012715779456916529
A,brownian,drift,Brownian drift recovery,$\beta$,10,0.15,0.2493771201464598,0.0993771201464598,0.0993771201464598,0.009875812008603907
A,brownian,drift,Brownian drift recovery,$\beta$,11,0.15,0.1589295746127201,0.008929574612720093,0.008929574612720093,7.973730276413519e-05
A,brownian,drift,Brownian drift recovery,$\beta$,12,0.15,0.2985487742099245,0.1485487742099245,0.1485487742099245,0.022066738319271126
A,brownian,drift,Brownian drift recovery,$\beta$,13,0.15,0.3417182165710007,0.19171821657100072,0.19171821657100072,0.03675587456516513
A,brownian,drift,Brownian drift recovery,$\beta$,14,0.15,0.0162371572751474,-0.1337628427248526,0.1337628427248526,0.01789249809383365
A,brownian,drift,Brownian drift recovery,$\beta$,15,0.15,0.0826177220406643,-0.0673822779593357,0.0673822779593357,0.004540371382989177
A,brownian,drift,Brownian drift recovery,$\beta$,16,0.15,0.3372134694193575,0.1872134694193575,0.1872134694193575,0.0350488831320327
A,brownian,drift,Brownian drift recovery,$\beta$,17,0.15,0.2431600925826757,0.09316009258267571,0.09316009258267571,0.00867880285001271
A,brownian,drift,Brownian drift recovery,$\beta$,18,0.15,0.0664492925931731,-0.0835507074068269,0.0835507074068269,0.006980720708181199
A,brownian,drift,Brownian drift recovery,$\beta$,19,0.15,0.1307904020853821,-0.019209597914617904,0.019209597914617904,0.00036900865204129253
