replicate,seed,branch_separation,switching_rate,diffusion_sigma,observation_noise,n_observations,n_observed,n_true_transitions,state_accuracy,adjusted_rand_index,transition_precision,transition_recall,transition_f1,condition_index
0,1869464703,0.2,0.05,0.1,0.0,20,20,1,0.8,0.326241134751773,0.3333333333333333,1.0,0.5,0
1,576741420,0.2,0.05,0.1,0.0,20,20,0,0.8,0.0,0.0,,,0
2,1620831217,0.2,0.05,0.1,0.0,20,20,0,1.0,1.0,,,,0
3,1014919734,0.2,0.05,0.1,0.0,20,20,0,0.8,0.0,0.0,,,0
4,1227938749,0.2,0.05,0.1,0.0,20,20,1,0.9,0.5247359644246804,0.0,0.0,0.0,0
5,1304092189,0.2,0.05,0.1,0.0,20,20,0,0.7,0.0,0.0,,,0
6,1545722463,0.2,0.05,0.1,0.0,20,20,0,0.45,0.0,0.0,,,0
7,2064474953,0.2,0.05,0.1,0.0,20,20,1,0.45,-0.033402922755741006,0.0,0.0,0.0,0
8,251147223,0.2,0.05,0.1,0.0,20,20,0,0.9,0.0,0.0,,,0
9,276620337,0.2,0.05,0.1,0.0,20,20,0,1.0,1.0,,,,0
10,92255005,0.2,0.05,0.1,0.0,20,20,1,0.7,0.11421911421911428,0.0,0.0,0.0,0
11,913949555,0.2,0.05,0.1,0.0,20,20,0,1.0,1.0,,,,0
12,598484634,0.2,0.05,0.1,0.0,20,20,0,0.85,0.0,0.0,,,0
13,624867061,0.2,0.05,0.1,0.0,20,20,0,0.5,0.0,0.0,,,0
14,1228918264,0.2,0.05,0.1,0.0,20,20,0,1.0,1.0,,,,0
15,1931211775,0.2,0.05,0.1,0.0,20,20,0,0.95,0.0,0.0,,,0
16,1021535628,0.2,0.05,0.1,0.0,20,20,0,0.9,0.0,0.0,,,0
17,1848128140,0.2,0.05,0.1,0.0,20,20,0,1.0,1.0,,,,0
18,1404123653,0.2,0.05,0.1,0.0,20,20,0,0.95,0.0,0.0,,,0
19,1364995327,0.2,0.05,0.1,0.0,20,20,0,1.0,1.0,,,,0
20,1153369006,0.2,0.05,0.1,0.0,20,20,0,1.0,1.0,,,,0
21,1234200016,0.2,0.05,0.1,0.0,20,20,0,0.6,0.0,0.0,,,0
22,1919745893,0.2,0.05,0.1,0.0,20,20,0,1.0,1.0,,,,0
23,1404903472,0.2,0.05,0.1,0.0,20,20,0,0.85,0.0,0.0,,,0
24,2116578167,0.2,0.05,0.1,0.0,20,20,0,1.0,1.0,,,,0
25,1936839501,0.2,0.05,0.1,0.0,20,20,0,0.95,0.0,0.0,,,0
26,1718591510,0.2,0.05,0.1,0.0,20,20,0,1.0,1.0,,,,0
27,221999739,0.2,0.05,0.1,0.0,20,20,0,1.0,1.0,,,,0
28,276622335,0.2,0.05,0.1,0.0,20,20,1,0.8,0.31291671375296637,0.0,0.0,0.0,0
29,200156975,0.2,0.05,0.1,0.0,20,20,1,0.9,0.6176634991615427,0.0,0.0,0.0,0
30,887737173,0.2,0.05,0.1,0.0,20,20,1,0.75,0.21227197346600338,0.0,0.0,0.0,0
31,613290147,0.2,0.05,0.1,0.0,20,20,0,1.0,1.0,,,,0
32,1502284995,0.2,0.05,0.1,0.0,20,20,0,1.0,1.0,,,,0
33,60845049,0.2,0.05,0.1,0.0,20,20,0,1.0,1.0,,,,0
34,1730833421,0.2,0.05,0.1,0.0,20,20,2,0.7,0.0,,0.0,,0
35,1785039828,0.2,0.05,0.1,0.0,20,20,0,0.95,0.0,0.0,,,0
36,873661640,0.2,0.05,0.1,0.0,20,20,0,1.0,1.0,,,,0
37,631541085,0.2,0.05,0.1,0.0,20,20,1,0.8,0.32750801902444415,0.0,0.0,0.0,0
38,537780615,0.2,0.05,0.1,0.0,20,20,0,0.9,0.0,0.0,,,0
39,1399949853,0.2,0.05,0.1,0.0,20,20,1,0.85,0.45567913717559827,0.0,0.0,0.0,0
40,2048498920,0.2,0.05,0.1,0.0,20,20,1,0.9,0.6061722708429295,0.0,0.0,0.0,0
41,1755772595,0.2,0.05,0.1,0.0,20,20,0,1.0,1.0,,,,0
42,1353790741,0.2,0.05,0.1,0.0,20,20,0,0.85,0.0,0.0,,,0
43,79450661,0.2,0.05,0.1,0.0,20,20,0,1.0,1.0,,,,0
44,1558763204,0.2,0.05,0.1,0.0,20,20,0,1.0,1.0,,,,0
45,1488969389,0.2,0.05,0.1,0.0,20,20,0,1.0,1.0,,,,0
46,963915822,0.2,0.05,0.1,0.0,20,20,0,1.0,1.0,,,,0
47,1273678723,0.2,0.05,0.1,0.0,20,20,0,0.85,0.0,0.0,,,0
48,404484300,0.2,0.05,0.1,0.0,20,20,1,0.9,0.6215139442231076,0.0,0.0,0.0,0
49,195298593,0.2,0.05,0.1,0.0,20,20,0,1.0,1.0,,,,0
0,1518169636,0.2,0.05,0.1,0.0,40,40,0,0.875,0.0,0.0,,,1
1,940847633,0.2,0.05,0.1,0.0,40,40,0,0.85,0.0,0.0,,,1
2,247485784,0.2,0.05,0.1,0.0,40,40,1,0.8,0.34355090044775827,0.0,0.0,0.0,1
3,176641974,0.2,0.05,0.1,0.0,40,40,0,1.0,1.0,,,,1
4,166143963,0.2,0.05,0.1,0.0,40,40,0,1.0,1.0,,,,1
5,1486127892,0.2,0.05,0.1,0.0,40,40,1,0.925,0.7152835326151297,0.0,0.0,0.0,1
6,405941454,0.2,0.05,0.1,0.0,40,40,0,1.0,1.0,,,,1
7,754748913,0.2,0.05,0.1,0.0,40,40,0,1.0,1.0,,,,1
8,1613515482,0.2,0.05,0.1,0.0,40,40,3,0.775,0.2827763496143959,0.0,0.0,0.0,1
9,673185290,0.2,0.05,0.1,0.0,40,40,0,1.0,1.0,,,,1
10,781221121,0.2,0.05,0.1,0.0,40,40,0,0.95,0.0,0.0,,,1
11,1177816978,0.2,0.05,0.1,0.0,40,40,1,0.875,0.21383647798742106,0.0,0.0,0.0,1
12,1187369846,0.2,0.05,0.1,0.0,40,40,2,0.975,0.6368715083798886,0.5,1.0,0.6666666666666666,1
13,833299572,0.2,0.05,0.1,0.0,40,40,0,0.975,0.0,0.0,,,1
14,1935622856,0.2,0.05,0.1,0.0,40,40,0,0.85,0.0,0.0,,,1
15,546060078,0.2,0.05,0.1,0.0,40,40,0,0.975,0.0,0.0,,,1
16,716561745,0.2,0.05,0.1,0.0,40,40,1,0.85,0.4769746573316241,0.3333333333333333,1.0,0.5,1
17,788402301,0.2,0.05,0.1,0.0,40,40,0,1.0,1.0,,,,1
18,645385489,0.2,0.05,0.1,0.0,40,40,0,0.75,0.0,0.0,,,1
19,1463162355,0.2,0.05,0.1,0.0,40,40,0,0.7,0.0,0.0,,,1
20,413992761,0.2,0.05,0.1,0.0,40,40,0,0.975,0.0,0.0,,,1
21,674253621,0.2,0.05,0.1,0.0,40,40,0,1.0,1.0,,,,1
22,1977447824,0.2,0.05,0.1,0.0,40,40,0,0.875,0.0,0.0,,,1
23,2071430743,0.2,0.05,0.1,0.0,40,40,0,0.975,0.0,0.0,,,1
24,753730679,0.2,0.05,0.1,0.0,40,40,0,0.9,0.0,0.0,,,1
25,494407214,0.2,0.05,0.1,0.0,40,40,0,1.0,1.0,,,,1
26,1071563204,0.2,0.05,0.1,0.0,40,40,0,0.925,0.0,0.0,,,1
27,641378596,0.2,0.05,0.1,0.0,40,40,0,1.0,1.0,,,,1
28,1215088380,0.2,0.05,0.1,0.0,40,40,0,1.0,1.0,,,,1
29,64301927,0.2,0.05,0.1,0.0,40,40,0,1.0,1.0,,,,1
30,1341580032,0.2,0.05,0.1,0.0,40,40,0,0.95,0.0,0.0,,,1
31,1757587058,0.2,0.05,0.1,0.0,40,40,0,1.0,1.0,,,,1
32,586266807,0.2,0.05,0.1,0.0,40,40,0,1.0,1.0,,,,1
33,842786512,0.2,0.05,0.1,0.0,40,40,0,0.9,0.0,0.0,,,1
34,943830189,0.2,0.05,0.1,0.0,40,40,0,0.975,0.0,0.0,,,1
35,295842767,0.2,0.05,0.1,0.0,40,40,0,1.0,1.0,,,,1
36,2037299020,0.2,0.05,0.1,0.0,40,40,0,1.0,1.0,,,,1
37,15378235,0.2,0.05,0.1,0.0,40,40,1,0.75,0.2339873902539626,0.0,0.0,0.0,1
38,541143102,0.2,0.05,0.1,0.0,40,40,1,0.925,-0.03351955307262482,0.0,0.0,0.0,1
39,1641186973,0.2,0.05,0.1,0.0,40,40,1,0.75,0.2339873902539626,0.0,0.0,0.0,1
40,348203102,0.2,0.05,0.1,0.0,40,40,0,1.0,1.0,,,,1
41,1802617439,0.2,0.05,0.1,0.0,40,40,1,0.875,0.4050421047125896,0.0,0.0,0.0,1
42,1285526053,0.2,0.05,0.1,0.0,40,40,0,0.95,0.0,0.0,,,1
43,1089022390,0.2,0.05,0.1,0.0,40,40,0,0.625,0.0,0.0,,,1
44,1491716853,0.2,0.05,0.1,0.0,40,40,0,1.0,1.0,,,,1
45,467523282,0.2,0.05,0.1,0.0,40,40,0,0.975,0.0,0.0,,,1
46,606207536,0.2,0.05,0.1,0.0,40,40,0,1.0,1.0,,,,1
47,1508980475,0.2,0.05,0.1,0.0,40,40,0,0.975,0.0,0.0,,,1
48,416366567,0.2,0.05,0.1,0.0,40,40,0,1.0,1.0,,,,1
49,819589327,0.2,0.05,0.1,0.0,40,40,0,0.875,0.0,0.0,,,1
0,2010212302,0.2,0.05,0.1,0.1,20,20,0,0.95,0.0,0.0,,,2
1,1595331519,0.2,0.05,0.1,0.1,20,20,0,0.95,0.0,0.0,,,2
2,708286775,0.2,0.05,0.1,0.1,20,20,0,0.9,0.0,0.0,,,2
3,1518656051,0.2,0.05,0.1,0.1,20,20,1,0.55,-0.03980099502487556,0.1111111111111111,1.0,0.19999999999999998,2
4,17150640,0.2,0.05,0.1,0.1,20,20,0,0.9,0.0,0.0,,,2
5,723796929,0.2,0.05,0.1,0.1,20,20,1,0.7,0.11686586985391773,0.14285714285714285,1.0,0.25,2
6,1522060056,0.2,0.05,0.1,0.1,20,20,0,0.7,0.0,0.0,,,2
7,14418839,0.2,0.05,0.1,0.1,20,20,2,0.65,0.04675267394420549,0.1,0.5,0.16666666666666669,2
8,164656661,0.2,0.05,0.1,0.1,20,20,0,0.5,0.0,0.0,,,2
9,1652588844,0.2,0.05,0.1,0.1,20,20,0,0.85,0.0,0.0,,,2
10,745503811,0.2,0.05,0.1,0.1,20,20,0,0.85,0.0,0.0,,,2
11,1060359849,0.2,0.05,0.1,0.1,20,20,0,0.65,0.0,0.0,,,2
12,889023496,0.2,0.05,0.1,0.1,20,20,1,0.7,0.11735427496958295,0.0,0.0,0.0,2
13,783887927,0.2,0.05,0.1,0.1,20,20,0,0.65,0.0,0.0,,,2
14,2080022450,0.2,0.05,0.1,0.1,20,20,0,1.0,1.0,,,,2
15,424198776,0.2,0.05,0.1,0.1,20,20,0,0.9,0.0,0.0,,,2
16,839575333,0.2,0.05,0.1,0.1,20,20,0,1.0,1.0,,,,2
17,1983106575,0.2,0.05,0.1,0.1,20,20,0,0.85,0.0,0.0,,,2
18,174881309,0.2,0.05,0.1,0.1,20,20,0,0.7,0.0,0.0,,,2
19,1504763767,0.2,0.05,0.1,0.1,20,20,0,0.8,0.0,0.0,,,2
20,179277266,0.2,0.05,0.1,0.1,20,20,0,0.5,0.0,0.0,,,2
21,848278359,0.2,0.05,0.1,0.1,20,20,0,0.6,0.0,0.0,,,2
22,605563998,0.2,0.05,0.1,0.1,20,20,0,0.75,0.0,0.0,,,2
23,1333736953,0.2,0.05,0.1,0.1,20,20,1,0.75,0.1522903033908389,0.0,0.0,0.0,2
24,1227768948,0.2,0.05,0.1,0.1,20,20,0,0.7,0.0,0.0,,,2
25,2087496080,0.2,0.05,0.1,0.1,20,20,1,0.55,-0.03980099502487556,0.0,0.0,0.0,2
26,125160930,0.2,0.05,0.1,0.1,20,20,0,0.9,0.0,0.0,,,2
27,936593741,0.2,0.05,0.1,0.1,20,20,0,0.65,0.0,0.0,,,2
28,344402443,0.2,0.05,0.1,0.1,20,20,0,0.9,0.0,0.0,,,2
29,350968957,0.2,0.05,0.1,0.1,20,20,0,0.9,0.0,0.0,,,2
30,1213155927,0.2,0.05,0.1,0.1,20,20,0,0.8,0.0,0.0,,,2
31,700686446,0.2,0.05,0.1,0.1,20,20,0,0.95,0.0,0.0,,,2
32,1951978094,0.2,0.05,0.1,0.1,20,20,0,1.0,1.0,,,,2
33,628774977,0.2,0.05,0.1,0.1,20,20,0,0.7,0.0,0.0,,,2
34,1335387903,0.2,0.05,0.1,0.1,20,20,0,0.75,0.0,0.0,,,2
35,1447781364,0.2,0.05,0.1,0.1,20,20,0,0.75,0.0,0.0,,,2
36,3060817,0.2,0.05,0.1,0.1,20,20,0,0.8,0.0,0.0,,,2
37,2063756580,0.2,0.05,0.1,0.1,20,20,0,0.95,0.0,0.0,,,2
38,366928970,0.2,0.05,0.1,0.1,20,20,0,0.8,0.0,0.0,,,2
39,1806212971,0.2,0.05,0.1,0.1,20,20,0,0.75,0.0,0.0,,,2
40,1588368539,0.2,0.05,0.1,0.1,20,20,1,0.8,0.3286219081272085,0.125,1.0,0.2222222222222222,2
41,762104170,0.2,0.05,0.1,0.1,20,20,1,0.8,0.32750801902444415,0.0,0.0,0.0,2
42,1402198646,0.2,0.05,0.1,0.1,20,20,0,0.6,0.0,0.0,,,2
43,605303081,0.2,0.05,0.1,0.1,20,20,0,0.85,0.0,0.0,,,2
44,1329841368,0.2,0.05,0.1,0.1,20,20,1,0.85,0.45567913717559827,0.0,0.0,0.0,2
45,1803310503,0.2,0.05,0.1,0.1,20,20,0,0.8,0.0,0.0,,,2
46,1079167171,0.2,0.05,0.1,0.1,20,20,0,0.95,0.0,0.0,,,2
47,1923832848,0.2,0.05,0.1,0.1,20,20,1,0.75,0.2101762554040572,0.1111111111111111,1.0,0.19999999999999998,2
48,1463961905,0.2,0.05,0.1,0.1,20,20,0,0.8,0.0,0.0,,,2
49,67509017,0.2,0.05,0.1,0.1,20,20,0,0.75,0.0,0.0,,,2
0,1501578183,0.2,0.05,0.1,0.1,40,40,0,0.85,0.0,0.0,,,3
1,46630034,0.2,0.05,0.1,0.1,40,40,0,0.975,0.0,0.0,,,3
2,1230034285,0.2,0.05,0.1,0.1,40,40,1,0.55,-0.005625879043600688,0.09090909090909091,1.0,0.16666666666666669,3
3,770060328,0.2,0.05,0.1,0.1,40,40,0,0.825,0.0,0.0,,,3
4,1576924961,0.2,0.05,0.1,0.1,40,40,0,0.975,0.0,0.0,,,3
5,1051532129,0.2,0.05,0.1,0.1,40,40,0,0.775,0.0,0.0,,,3
6,1483528352,0.2,0.05,0.1,0.1,40,40,0,0.9,0.0,0.0,,,3
7,864395573,0.2,0.05,0.1,0.1,40,40,0,0.925,0.0,0.0,,,3
8,458693653,0.2,0.05,0.1,0.1,40,40,0,0.775,0.0,0.0,,,3
9,1235687825,0.2,0.05,0.1,0.1,40,40,0,0.725,0.0,0.0,,,3
10,1646896483,0.2,0.05,0.1,0.1,40,40,0,0.8,0.0,0.0,,,3
11,1269238303,0.2,0.05,0.1,0.1,40,40,0,0.725,0.0,0.0,,,3
12,922708867,0.2,0.05,0.1,0.1,40,40,0,0.825,0.0,0.0,,,3
13,1220897021,0.2,0.05,0.1,0.1,40,40,1,0.725,-0.06110229773297159,0.0,0.0,0.0,3
14,374292844,0.2,0.05,0.1,0.1,40,40,0,0.925,0.0,0.0,,,3
15,1772882935,0.2,0.05,0.1,0.1,40,40,0,0.775,0.0,0.0,,,3
16,443415334,0.2,0.05,0.1,0.1,40,40,0,0.875,0.0,0.0,,,3
17,1754432760,0.2,0.05,0.1,0.1,40,40,0,0.75,0.0,0.0,,,3
18,1476537643,0.2,0.05,0.1,0.1,40,40,0,0.775,0.0,0.0,,,3
19,2056304956,0.2,0.05,0.1,0.1,40,40,0,0.875,0.0,0.0,,,3
20,2080276191,0.2,0.05,0.1,0.1,40,40,1,0.625,0.0384236064539035,0.0,0.0,0.0,3
21,225519255,0.2,0.05,0.1,0.1,40,40,0,0.35,0.0,0.0,,,3
22,97531818,0.2,0.05,0.1,0.1,40,40,0,0.7,0.0,0.0,,,3
23,816889140,0.2,0.05,0.1,0.1,40,40,0,0.95,0.0,0.0,,,3
24,111362292,0.2,0.05,0.1,0.1,40,40,2,0.725,-0.06110229773297159,0.0,0.0,0.0,3
25,695821379,0.2,0.05,0.1,0.1,40,40,2,0.675,0.07874015748031496,0.07692307692307693,0.5,0.13333333333333336,3
26,236813050,0.2,0.05,0.1,0.1,40,40,0,0.9,0.0,0.0,,,3
27,1568649161,0.2,0.05,0.1,0.1,40,40,0,0.875,0.0,0.0,,,3
28,1598590455,0.2,0.05,0.1,0.1,40,40,0,0.9,0.0,0.0,,,3
29,1129718111,0.2,0.05,0.1,0.1,40,40,0,0.95,0.0,0.0,,,3
30,747934825,0.2,0.05,0.1,0.1,40,40,0,0.85,0.0,0.0,,,3
31,98374550,0.2,0.05,0.1,0.1,40,40,0,0.85,0.0,0.0,,,3
32,378864901,0.2,0.05,0.1,0.1,40,40,0,0.95,0.0,0.0,,,3
33,710002026,0.2,0.05,0.1,0.1,40,40,0,0.975,0.0,0.0,,,3
34,255409740,0.2,0.05,0.1,0.1,40,40,1,0.675,0.10138248847926272,0.058823529411764705,1.0,0.1111111111111111,3
35,791550168,0.2,0.05,0.1,0.1,40,40,0,0.7,0.0,0.0,,,3
36,388418215,0.2,0.05,0.1,0.1,40,40,0,0.825,0.0,0.0,,,3
37,701070773,0.2,0.05,0.1,0.1,40,40,1,0.525,-0.0044150110375274524,0.0,0.0,0.0,3
38,1864107617,0.2,0.05,0.1,0.1,40,40,1,0.85,0.2485478158205432,0.16666666666666666,1.0,0.2857142857142857,3
39,224416809,0.2,0.05,0.1,0.1,40,40,0,0.875,0.0,0.0,,,3
40,575972610,0.2,0.05,0.1,0.1,40,40,1,0.85,0.25186188219363587,0.0,0.0,0.0,3
41,2129811660,0.2,0.05,0.1,0.1,40,40,2,0.8,0.26241134751773054,0.08333333333333333,0.5,0.14285714285714285,3
42,1653174015,0.2,0.05,0.1,0.1,40,40,0,0.775,0.0,0.0,,,3
43,645271730,0.2,0.05,0.1,0.1,40,40,0,0.575,0.0,0.0,,,3
44,810814726,0.2,0.05,0.1,0.1,40,40,0,0.675,0.0,0.0,,,3
45,223379473,0.2,0.05,0.1,0.1,40,40,0,0.725,0.0,0.0,,,3
46,153205180,0.2,0.05,0.1,0.1,40,40,0,0.75,0.0,0.0,,,3
47,1794905613,0.2,0.05,0.1,0.1,40,40,0,0.925,0.0,0.0,,,3
48,486981436,0.2,0.05,0.1,0.1,40,40,1,0.625,0.03862587591864638,0.0,0.0,0.0,3
49,1683183317,0.2,0.05,0.1,0.1,40,40,0,0.875,0.0,0.0,,,3
0,1835142944,0.2,0.05,0.1,0.25,20,20,0,0.7,0.0,0.0,,,4
1,1768814270,0.2,0.05,0.1,0.25,20,20,0,0.75,0.0,0.0,,,4
2,551868493,0.2,0.05,0.1,0.25,20,20,0,0.8,0.0,0.0,,,4
3,1769549365,0.2,0.05,0.1,0.25,20,20,0,0.65,0.0,0.0,,,4
4,1076022952,0.2,0.05,0.1,0.25,20,20,0,0.8,0.0,0.0,,,4
5,278515044,0.2,0.05,0.1,0.25,20,20,0,0.75,0.0,0.0,,,4
6,373512993,0.2,0.05,0.1,0.25,20,20,0,0.75,0.0,0.0,,,4
7,1454731899,0.2,0.05,0.1,0.25,20,20,1,0.5,-0.04902826855123677,0.14285714285714285,1.0,0.25,4
8,749280827,0.2,0.05,0.1,0.25,20,20,0,0.7,0.0,0.0,,,4
9,1768598603,0.2,0.05,0.1,0.25,20,20,0,0.75,0.0,0.0,,,4
10,1213216247,0.2,0.05,0.1,0.25,20,20,0,0.8,0.0,0.0,,,4
11,127309182,0.2,0.05,0.1,0.25,20,20,1,0.85,0.4633957248864769,0.16666666666666666,1.0,0.2857142857142857,4
12,1097154553,0.2,0.05,0.1,0.25,20,20,0,0.75,0.0,0.0,,,4
13,1522328543,0.2,0.05,0.1,0.25,20,20,0,0.65,0.0,0.0,,,4
14,879692867,0.2,0.05,0.1,0.25,20,20,0,0.65,0.0,0.0,,,4
15,911609775,0.2,0.05,0.1,0.25,20,20,0,0.7,0.0,0.0,,,4
16,1624017893,0.2,0.05,0.1,0.25,20,20,0,0.75,0.0,0.0,,,4
17,326247481,0.2,0.05,0.1,0.25,20,20,0,0.7,0.0,0.0,,,4
18,1864801240,0.2,0.05,0.1,0.25,20,20,0,0.4,0.0,0.0,,,4
19,1983246996,0.2,0.05,0.1,0.25,20,20,0,0.8,0.0,0.0,,,4
20,1136328091,0.2,0.05,0.1,0.25,20,20,0,0.8,0.0,0.0,,,4
21,124233510,0.2,0.05,0.1,0.25,20,20,0,0.75,0.0,0.0,,,4
22,1424679096,0.2,0.05,0.1,0.25,20,20,0,0.75,0.0,0.0,,,4
23,539720285,0.2,0.05,0.1,0.25,20,20,0,0.6,0.0,0.0,,,4
24,754888872,0.2,0.05,0.1,0.25,20,20,0,0.7,0.0,0.0,,,4
25,603562874,0.2,0.05,0.1,0.25,20,20,0,0.75,0.0,0.0,,,4
26,617761321,0.2,0.05,0.1,0.25,20,20,0,0.8,0.0,0.0,,,4
27,2080401766,0.2,0.05,0.1,0.25,20,20,2,0.45,-0.01730665224445637,0.125,0.5,0.2,4
28,893455890,0.2,0.05,0.1,0.25,20,20,1,0.7,0.1235584843492586,0.0,0.0,0.0,4
29,1780852946,0.2,0.05,0.1,0.25,20,20,0,0.8,0.0,0.0,,,4
30,837212769,0.2,0.05,0.1,0.25,20,20,0,0.55,0.0,0.0,,,4
31,1817907808,0.2,0.05,0.1,0.25,20,20,0,0.6,0.0,0.0,,,4
32,1504124386,0.2,0.05,0.1,0.25,20,20,0,0.6,0.0,0.0,,,4
33,982039777,0.2,0.05,0.1,0.25,20,20,0,0.55,0.0,0.0,,,4
34,561405251,0.2,0.05,0.1,0.25,20,20,0,0.65,0.0,0.0,,,4
35,539742401,0.2,0.05,0.1,0.25,20,20,0,0.7,0.0,0.0,,,4
36,542766822,0.2,0.05,0.1,0.25,20,20,1,0.55,-0.11897679952409264,0.0,0.0,0.0,4
37,1305620172,0.2,0.05,0.1,0.25,20,20,0,0.6,0.0,0.0,,,4
38,389071593,0.2,0.05,0.1,0.25,20,20,0,0.65,0.0,0.0,,,4
39,306050386,0.2,0.05,0.1,0.25,20,20,0,0.7,0.0,0.0,,,4
40,1368561147,0.2,0.05,0.1,0.25,20,20,0,0.65,0.0,0.0,,,4
41,865449237,0.2,0.05,0.1,0.25,20,20,1,0.65,0.055087987758225,0.0,0.0,0.0,4
42,324661992,0.2,0.05,0.1,0.25,20,20,0,0.6,0.0,0.0,,,4
43,1472085789,0.2,0.05,0.1,0.25,20,20,1,0.45,-0.044419766796224384,0.08333333333333333,1.0,0.15384615384615385,4
44,1369387952,0.2,0.05,0.1,0.25,20,20,0,0.7,0.0,0.0,,,4
