branch_separation,switching_rate,diffusion_sigma,observation_noise,n_observations,n_replicates,mean_true_transitions,state_accuracy_mean,state_accuracy_sd,ari_mean,ari_sd,transition_f1_mean
0.2,0.05,0.1,0.0,20,50,0.26,0.884,0.14757910365879956,0.5017103769657284,0.46077555729794656,0.045454545454545456
0.2,0.05,0.1,0.0,40,50,0.26,0.9259999999999999,0.0936722466684683,0.45017581517048216,0.4635758537049272,0.11666666666666665
0.2,0.05,0.1,0.1,20,50,0.22,0.7829999999999999,0.1311682203920459,0.09351292903680203,0.2509497894894535,0.10388888888888888
0.2,0.05,0.1,0.1,40,50,0.28,0.7925,0.1302714982845677,0.017754953766339315,0.06472439186347932,0.07633477633477634
0.2,0.05,0.1,0.25,20,50,0.18,0.674,0.10701897600187459,0.006223031900404103,0.07286634806643441,0.11119505494505494
0.2,0.05,0.1,0.25,40,50,0.22,0.6409999999999999,0.10946996606096007,0.010821634368516799,0.045845613633346986,0.03826043237807943
0.2,0.05,0.1,0.5,20,50,0.28,0.58,0.1199489687410476,0.00885165405879914,0.07424289095589884,0.08485958485958486
0.2,0.05,0.1,0.5,40,50,0.26,0.5715,0.07319424812909599,-0.0013453988981103437,0.017602858751533997,0.0558958972258205
0.2,0.05,0.2,0.0,20,50,0.18,0.736,0.228803453663102,0.19359386110136945,0.39905637877918226,0.02857142857142857
0.2,0.05,0.2,0.0,40,50,0.2,0.736,0.19943542763490735,0.1335081786771886,0.29439743931841267,0.0
0.2,0.05,0.2,0.1,20,50,0.38,0.6829999999999999,0.1907584218591779,0.02820388916795925,0.10734108010867027,0.09238095238095238
0.2,0.05,0.2,0.1,40,50,0.3,0.696,0.17160407682707737,0.0435373087948928,0.1757546049017669,0.05034965034965035
0.2,0.05,0.2,0.25,20,50,0.14,0.649,0.1489726724700109,0.012980996679068942,0.06754272468545638,0.09
0.2,0.05,0.2,0.25,40,50,0.34,0.5915,0.14415570521813828,-0.0016830151841261767,0.009468479063544902,0.05629867869686874
0.2,0.05,0.2,0.5,20,50,0.28,0.561,0.11441510532499899,-0.002516863689350639,0.025193002011383088,0.10714840714840715
0.2,0.05,0.2,0.5,40,50,0.32,0.58,0.09422075684480655,0.005803203339516464,0.03013706886776161,0.05861678004535147
0.2,0.05,0.35,0.0,20,50,0.28,0.659,0.22078015660611439,0.06308145313312567,0.21539836589026656,0.1501831501831502
0.2,0.05,0.35,0.0,40,50,0.36,0.647,0.22670217809059617,0.07732807844019635,0.25053612608685727,0.043333333333333335
0.2,0.05,0.35,0.1,20,50,0.32,0.6859999999999999,0.21190101655331087,0.0970758234286849,0.2917183773974219,0.10603174603174605
0.2,0.05,0.35,0.1,40,50,0.14,0.684,0.23390866872803678,0.07589563349633088,0.24271487273189213,0.0196078431372549
0.2,0.05,0.35,0.25,20,50,0.28,0.5529999999999999,0.16175378114370534,0.004465572122254052,0.04372021958822582,0.07852504638218924
0.2,0.05,0.35,0.25,40,50,0.2,0.618,0.18406132518422064,0.0033222600472924842,0.02348299056222299,0.03333333333333334
0.2,0.05,0.35,0.5,20,50,0.06,0.5710000000000001,0.14253177232620448,-0.0013152303017539778,0.007279222174757192,0.11111111111111112
0.2,0.05,0.35,0.5,40,50,0.2,0.5720000000000001,0.13920693742975393,0.005634166539462149,0.030394628071699303,0.026783216783216785
