replicate,seed,jump_rate,jump_scale,diffusion_sigma,observation_noise,n_observations,n_observed,n_true_jumps,n_detected_jumps,tp,fp,tn,fn,precision,recall,false_positive_rate,f1,condition_index
0,1571108490,0.1,0.2,0.1,0.0,20,20,0,0,0,0,19,0,,,0.0,,0
1,480164628,0.1,0.2,0.1,0.0,20,20,0,0,0,0,19,0,,,0.0,,0
2,1174453063,0.1,0.2,0.1,0.0,20,20,1,1,1,0,18,0,1.0,1.0,0.0,1.0,0
3,197204134,0.1,0.2,0.1,0.0,20,20,0,0,0,0,19,0,,,0.0,,0
4,1393390384,0.1,0.2,0.1,0.0,20,20,1,0,0,0,18,1,,0.0,0.0,,0
5,1358990260,0.1,0.2,0.1,0.0,20,20,1,1,1,0,18,0,1.0,1.0,0.0,1.0,0
6,822560579,0.1,0.2,0.1,0.0,20,20,2,0,0,0,17,2,,0.0,0.0,,0
7,485145305,0.1,0.2,0.1,0.0,20,20,1,0,0,0,18,1,,0.0,0.0,,0
8,510471467,0.1,0.2,0.1,0.0,20,20,0,0,0,0,19,0,,,0.0,,0
9,2014066796,0.1,0.2,0.1,0.0,20,20,0,0,0,0,19,0,,,0.0,,0
10,1724481243,0.1,0.2,0.1,0.0,20,20,0,0,0,0,19,0,,,0.0,,0
11,2128948276,0.1,0.2,0.1,0.0,20,20,0,0,0,0,19,0,,,0.0,,0
12,1566959402,0.1,0.2,0.1,0.0,20,20,0,0,0,0,19,0,,,0.0,,0
13,1710223569,0.1,0.2,0.1,0.0,20,20,0,0,0,0,19,0,,,0.0,,0
14,1783823640,0.1,0.2,0.1,0.0,20,20,0,0,0,0,19,0,,,0.0,,0
15,68804546,0.1,0.2,0.1,0.0,20,20,0,0,0,0,19,0,,,0.0,,0
16,1836656256,0.1,0.2,0.1,0.0,20,20,0,0,0,0,19,0,,,0.0,,0
17,722347264,0.1,0.2,0.1,0.0,20,20,1,1,1,0,18,0,1.0,1.0,0.0,1.0,0
18,942034838,0.1,0.2,0.1,0.0,20,20,0,0,0,0,19,0,,,0.0,,0
19,216931757,0.1,0.2,0.1,0.0,20,20,0,0,0,0,19,0,,,0.0,,0
20,845647877,0.1,0.2,0.1,0.0,20,20,0,0,0,0,19,0,,,0.0,,0
21,1772091222,0.1,0.2,0.1,0.0,20,20,1,0,0,0,18,1,,0.0,0.0,,0
22,1140728867,0.1,0.2,0.1,0.0,20,20,0,0,0,0,19,0,,,0.0,,0
23,535778116,0.1,0.2,0.1,0.0,20,20,0,0,0,0,19,0,,,0.0,,0
24,87484767,0.1,0.2,0.1,0.0,20,20,2,2,2,0,17,0,1.0,1.0,0.0,1.0,0
25,78828665,0.1,0.2,0.1,0.0,20,20,0,0,0,0,19,0,,,0.0,,0
26,705013170,0.1,0.2,0.1,0.0,20,20,0,0,0,0,19,0,,,0.0,,0
27,80653782,0.1,0.2,0.1,0.0,20,20,0,0,0,0,19,0,,,0.0,,0
28,1253611760,0.1,0.2,0.1,0.0,20,20,1,0,0,0,18,1,,0.0,0.0,,0
29,2042825504,0.1,0.2,0.1,0.0,20,20,0,0,0,0,19,0,,,0.0,,0
30,1795796189,0.1,0.2,0.1,0.0,20,20,0,0,0,0,19,0,,,0.0,,0
31,1928097965,0.1,0.2,0.1,0.0,20,20,1,0,0,0,18,1,,0.0,0.0,,0
32,1504831693,0.1,0.2,0.1,0.0,20,20,0,0,0,0,19,0,,,0.0,,0
33,71380356,0.1,0.2,0.1,0.0,20,20,0,0,0,0,19,0,,,0.0,,0
34,1176100681,0.1,0.2,0.1,0.0,20,20,0,0,0,0,19,0,,,0.0,,0
35,1569300292,0.1,0.2,0.1,0.0,20,20,0,0,0,0,19,0,,,0.0,,0
36,847924436,0.1,0.2,0.1,0.0,20,20,2,2,2,0,17,0,1.0,1.0,0.0,1.0,0
37,1488421648,0.1,0.2,0.1,0.0,20,20,0,0,0,0,19,0,,,0.0,,0
38,1880313774,0.1,0.2,0.1,0.0,20,20,0,0,0,0,19,0,,,0.0,,0
39,430225664,0.1,0.2,0.1,0.0,20,20,0,0,0,0,19,0,,,0.0,,0
40,323683063,0.1,0.2,0.1,0.0,20,20,0,0,0,0,19,0,,,0.0,,0
41,722824817,0.1,0.2,0.1,0.0,20,20,1,1,1,0,18,0,1.0,1.0,0.0,1.0,0
42,1309967485,0.1,0.2,0.1,0.0,20,20,0,0,0,0,19,0,,,0.0,,0
43,1936360609,0.1,0.2,0.1,0.0,20,20,0,0,0,0,19,0,,,0.0,,0
44,1936407779,0.1,0.2,0.1,0.0,20,20,0,0,0,0,19,0,,,0.0,,0
