jump_rate,jump_scale,diffusion_sigma,observation_noise,n_observations,n_replicates,n_precision_evaluable,n_recall_evaluable,precision_mean,precision_sd,precision_median,recall_mean,recall_sd,false_positive_rate_mean,f1_mean,mean_true_jumps
0.1,0.2,0.1,0.0,20,50,8,14,0.875,0.3535533905932738,1.0,0.5,0.5188745216627708,0.0010526315789473684,1.0,0.34
0.1,0.2,0.1,0.0,40,50,13,16,0.8205128205128205,0.3755338080994054,1.0,0.625,0.46547466812563143,0.001566181566181566,0.9212121212121211,0.4
0.1,0.2,0.1,0.1,20,50,50,20,0.05148484848484849,0.09969135856298283,0.0,0.475,0.44352060416150846,0.2901547987616099,0.19475579975579976,0.52
0.1,0.2,0.1,0.1,40,50,50,21,0.02423365231259968,0.03365650738226617,0.0,0.8253968253968254,0.32264613603843,0.43487483434851854,0.1064584230012186,0.54
0.1,0.2,0.1,0.25,20,50,50,18,0.022611555111555114,0.044707252445710485,0.0,0.6388888888888888,0.47914002483480006,0.6965669074647403,0.11258858244152362,0.42
0.1,0.2,0.1,0.25,40,50,50,26,0.017201695146175942,0.022961332545662797,0.0,0.8076923076923077,0.3762159772503841,0.7543902809692284,0.06303559762713724,0.62
0.1,0.2,0.2,0.0,20,50,6,20,0.8333333333333334,0.408248290463863,1.0,0.16666666666666666,0.32891812735531006,0.0010526315789473684,0.7666666666666666,0.56
0.1,0.2,0.2,0.0,40,50,5,17,1.0,0.0,1.0,0.20588235294117646,0.3561435599503628,0.0,0.8,0.44
0.1,0.2,0.2,0.1,20,50,41,25,0.10772357723577235,0.2765385637407057,0.0,0.26,0.4358898943540674,0.0886016511867905,0.2365079365079365,0.6
0.1,0.2,0.2,0.1,40,50,49,21,0.0333009394233884,0.06660708851747059,0.0,0.43650793650793646,0.46090548101954965,0.1830937617779723,0.12849795706938563,0.6
0.1,0.2,0.2,0.25,20,50,50,14,0.03340079365079365,0.06787856503980062,0.0,0.7857142857142857,0.3779644730092272,0.4288372893016856,0.2011023290435055,0.34
0.1,0.2,0.2,0.25,40,50,50,24,0.018460725791768166,0.025253964943380214,0.0,0.7083333333333334,0.41775220910554184,0.5684386815965763,0.07220932646752631,0.64
0.1,0.2,0.35,0.0,20,50,6,18,0.4166666666666667,0.49159604012508756,0.25,0.1388888888888889,0.33455657903434416,0.0043343653250774,0.8333333333333334,0.48
0.1,0.2,0.35,0.0,40,50,5,18,0.3,0.4472135954999579,0.0,0.08333333333333333,0.25724787771376323,0.0026195426195426198,0.5,0.48
0.1,0.2,0.35,0.1,20,50,13,23,0.0,0.0,0.0,0.0,0.0,0.019852081183350533,0.0,0.54
0.1,0.2,0.35,0.1,40,50,42,15,0.08134920634920635,0.23461328328939887,0.0,0.3555555555555555,0.4791968589521739,0.042016753595700965,0.2785714285714286,0.36
0.1,0.2,0.35,0.25,20,50,49,17,0.04149659863945578,0.1247739831182355,0.0,0.3235294117647059,0.46573787123862104,0.17191950464396286,0.16666666666666669,0.4
0.1,0.2,0.35,0.25,40,50,50,21,0.021513653013653013,0.042904477612254605,0.0,0.5476190476190477,0.4976133515281193,0.30479702374439216,0.09250118850959188,0.5
0.1,0.5,0.1,0.0,20,50,17,20,0.9117647058823529,0.26429706993546215,1.0,0.7833333333333333,0.40860624607008317,0.0021637426900584793,0.9666666666666667,0.5
0.1,0.5,0.1,0.0,40,50,27,26,0.9444444444444444,0.21182963643408081,1.0,0.9711538461538461,0.10786387432600121,0.001039136302294197,0.9688644688644689,0.66
0.1,0.5,0.1,0.1,20,50,50,17,0.0661991341991342,0.11893738408783697,0.0,0.8627450980392156,0.3345565790343442,0.28855908152734777,0.304014939309057,0.4
0.1,0.5,0.1,0.1,40,50,50,19,0.020422043969102792,0.03230755153133068,0.0,0.7894736842105263,0.3842665984878862,0.4829189918663603,0.09949974407597803,0.46
0.1,0.5,0.1,0.25,20,50,50,24,0.03616760690290102,0.04692125170326592,0.0,0.875,0.3378319623460881,0.6796912624699003,0.1376613174407292,0.58
0.1,0.5,0.1,0.25,40,50,50,15,0.011366628355480348,0.019604577625049066,0.0,0.9,0.280305955290694,0.7743206769522558,0.072397005295978,0.4
0.1,0.5,0.2,0.0,20,50,10,19,0.9,0.31622776601683794,1.0,0.42105263157894735,0.4790951510323289,0.0010526315789473684,0.9259259259259258,0.46
0.1,0.5,0.2,0.0,40,50,13,21,0.6923076923076923,0.434859246311452,1.0,0.38888888888888884,0.448247616754318,0.0026188131451289343,0.7545454545454546,0.56
0.1,0.5,0.2,0.1,20,50,40,16,0.12916666666666665,0.2600884684026022,0.0,0.5625,0.47871355387816905,0.06342621259029928,0.4794871794871795,0.42
0.1,0.5,0.2,0.1,40,50,50,20,0.05118009768009767,0.09864006952167191,0.0,0.6666666666666667,0.4714045207910317,0.1559300798774483,0.2076862026862027,0.48
0.1,0.5,0.2,0.25,20,50,50,23,0.03522893772893773,0.067621860826429,0.0,0.5652173913043478,0.48393152751206253,0.4445201238390093,0.1316271892358849,0.56
0.1,0.5,0.2,0.25,40,50,50,18,0.013176781977239642,0.02519567397410505,0.0,0.6055555555555556,0.4733761372526729,0.537134452862007,0.06777246902977897,0.48
0.1,0.5,0.35,0.0,20,50,5,23,1.0,0.0,1.0,0.21739130434782608,0.42174116783665,0.0,1.0,0.52
0.1,0.5,0.35,0.0,40,50,9,17,0.8888888888888888,0.3333333333333333,1.0,0.4411764705882353,0.49630991266724134,0.0005128205128205128,0.9583333333333334,0.46
0.1,0.5,0.35,0.1,20,50,25,20,0.42,0.47169905660283024,0.0,0.4666666666666667,0.4445906192369001,0.019487444100447195,0.5833333333333333,0.6
0.1,0.5,0.35,0.1,40,50,47,17,0.07218844984802432,0.1833455041421254,0.0,0.4411764705882353,0.46376020680063174,0.060295072400335555,0.26979166666666665,0.48
0.1,0.5,0.35,0.25,20,50,46,21,0.06268115942028986,0.14055378929978055,0.0,0.38888888888888884,0.44824761675431796,0.16590772273821808,0.2001190476190476,0.54
0.1,0.5,0.35,0.25,40,50,50,27,0.023612245597539716,0.04076932693198057,0.0,0.48148148148148145,0.4899270252073159,0.316772440456651,0.07886776742985893,0.6
0.1,0.9,0.1,0.0,20,50,17,18,0.9019607843137255,0.22094198215170466,1.0,0.9166666666666666,0.25724787771376323,0.0044444444444444444,0.9117647058823529,0.4
0.1,0.9,0.1,0.0,40,50,17,18,0.7941176470588235,0.30917347120042116,1.0,0.8888888888888888,0.32338083338177726,0.0036991647517963305,0.8958333333333333,0.44
0.1,0.9,0.1,0.1,20,50,50,18,0.07541486291486292,0.10944794046831961,0.0,0.9166666666666666,0.19174124721184266,0.28881664946680424,0.3347747931081264,0.52
0.1,0.9,0.1,0.1,40,50,50,21,0.02630861933567547,0.0370264745795668,0.0,0.9285714285714286,0.2390457218668787,0.4701894201894202,0.1161355315672142,0.56
