n_observations,noise_sd,missing_probability,interval_pattern,replicate,observed_n,theta_true,sigma_true,theta_naive,sigma_naive,theta_abs_error_naive,sigma_abs_error_naive,theta_bound_naive,sigma_bound_naive,fit_success_naive,theta_measurement_aware,sigma_measurement_aware,theta_abs_error_measurement_aware,sigma_abs_error_measurement_aware,theta_bound_measurement_aware,sigma_bound_measurement_aware,fit_success_measurement_aware,theta_estimate,theta_abs_error,sigma_estimate,sigma_abs_error,success,theta_squared_error_naive,theta_squared_error_measurement_aware,sigma_squared_error_naive,sigma_squared_error_measurement_aware
5,0.0,0.0,regular,0,5,0.8,0.25,0.566253468277575,0.0692170080234916,0.2337465317224251,0.1807829919765083,False,False,True,0.566253468277575,0.0692170080234916,0.2337465317224251,0.1807829919765083,False,False,True,0.566253468277575,0.2337465317224251,0.0692170080234916,0.1807829919765083,True,0.054637441092262685,0.054637441092262685,0.0326824901879783,0.0326824901879783
5,0.0,0.0,regular,1,5,0.8,0.25,0.9436519729725024,0.2563566829651918,0.1436519729725023,0.0063566829651918,False,False,True,0.9436519729725024,0.2563566829651918,0.1436519729725023,0.0063566829651918,False,False,True,0.9436519729725024,0.1436519729725023,0.2563566829651918,0.0063566829651918,True,0.020635889338892537,0.020635889338892537,4.040741831995984e-05,4.040741831995984e-05
5,0.0,0.0,regular,2,5,0.8,0.25,14.544391520724956,0.6904423509550831,13.744391520724957,0.4404423509550831,False,False,True,14.544391520724956,0.6904423509550831,13.744391520724957,0.4404423509550831,False,False,True,14.544391520724956,13.744391520724957,0.6904423509550831,0.4404423509550831,True,188.90829827497603,188.90829827497603,0.1939894645148406,0.1939894645148406
5,0.0,0.0,regular,3,5,0.8,0.25,0.7512810726053064,0.0796876467735991,0.0487189273946936,0.1703123532264008,False,False,True,0.7512810726053064,0.0796876467735991,0.0487189273946936,0.1703123532264008,False,False,True,0.7512810726053064,0.0487189273946936,0.0796876467735991,0.1703123532264008,True,0.0023735338864894298,0.0023735338864894298,0.029006297661514347,0.029006297661514347
5,0.0,0.0,regular,4,5,0.8,0.25,9.792651024030471,0.3372008875607239,8.99265102403047,0.0872008875607239,False,False,True,9.792651024030471,0.3372008875607239,8.99265102403047,0.0872008875607239,False,False,True,9.792651024030471,8.99265102403047,0.3372008875607239,0.0872008875607239,True,80.86777243999627,80.86777243999627,0.007603994791378015,0.007603994791378015
5,0.0,0.0,regular,5,5,0.8,0.25,0.4732460818194013,0.0251573292391285,0.3267539181805987,0.2248426707608714,False,False,True,0.4732460818194013,0.0251573292391285,0.3267539181805987,0.2248426707608714,False,False,True,0.4732460818194013,0.3267539181805987,0.0251573292391285,0.2248426707608714,True,0.10676812304637341,0.10676812304637341,0.05055422659488166,0.05055422659488166
5,0.0,0.0,regular,6,5,0.8,0.25,16.238403413048058,0.7065346585360186,15.438403413048055,0.4565346585360186,False,False,True,16.238403413048058,0.7065346585360186,15.438403413048055,0.4565346585360186,False,False,True,16.238403413048058,15.438403413048055,0.7065346585360186,0.4565346585360186,True,238.3442999440139,238.3442999440139,0.2084238944445991,0.2084238944445991
5,0.0,0.0,regular,7,5,0.8,0.25,16.509775554887277,1.303036124567691,15.709775554887276,1.053036124567691,False,False,True,16.509775554887277,1.303036124567691,15.709775554887276,1.053036124567691,False,False,True,16.509775554887277,15.709775554887276,1.303036124567691,1.053036124567691,True,246.7970479849338,246.7970479849338,1.1088850796445415,1.1088850796445415
5,0.0,0.0,regular,8,5,0.8,0.25,0.64517936943254,0.1171368194069606,0.1548206305674601,0.1328631805930394,False,False,True,0.64517936943254,0.1171368194069606,0.1548206305674601,0.1328631805930394,False,False,True,0.64517936943254,0.1548206305674601,0.1171368194069606,0.1328631805930394,True,0.023969427649305958,0.023969427649305958,0.017652624757298608,0.017652624757298608
5,0.0,0.0,regular,9,5,0.8,0.25,12.772457381934368,0.640345593726991,11.972457381934367,0.3903455937269909,False,False,True,12.772457381934368,0.640345593726991,11.972457381934367,0.3903455937269909,False,False,True,12.772457381934368,11.972457381934367,0.640345593726991,0.3903455937269909,True,143.3397357622347,143.3397357622347,0.15236968254207708,0.15236968254207708
5,0.0,0.0,irregular,0,5,0.8,0.25,0.7712043745742849,0.2045827096951934,0.0287956254257151,0.0454172903048065,False,False,True,0.7712043745742849,0.2045827096951934,0.0287956254257151,0.0454172903048065,False,False,True,0.7712043745742849,0.0287956254257151,0.2045827096951934,0.0454172903048065,True,0.0008291880436580912,0.0008291880436580912,0.0020627302586310793,0.0020627302586310793
5,0.0,0.0,irregular,1,5,0.8,0.25,6.9840864204586515,0.7625060035112774,6.184086420458652,0.5125060035112774,False,False,True,6.9840864204586515,0.7625060035112774,6.184086420458652,0.5125060035112774,False,False,True,6.9840864204586515,6.184086420458652,0.7625060035112774,0.5125060035112774,True,38.2429248557011,38.2429248557011,0.26266240363510146,0.26266240363510146
5,0.0,0.0,irregular,2,5,0.8,0.25,0.0169772177921307,0.1649806011000035,0.7830227822078694,0.0850193988999964,False,False,True,0.0169772177921307,0.1649806011000035,0.7830227822078694,0.0850193988999964,False,False,True,0.0169772177921307,0.7830227822078694,0.1649806011000035,0.0850193988999964,True,0.6131246774565524,0.6131246774565524,0.007228298189316725,0.007228298189316725
