generator_family,replicate,fitted_model,fit_success,test_elpd,test_elpd_per_obs,test_rmse,coverage95,residual_acf1
OULB,0,OU,True,-2.617029119464505,-0.1137838747593263,0.2648867603856109,0.9130434782608695,-0.3626420230297397
OULB,0,OULB,True,-2.3065926255563367,-0.10028663589375376,0.2624748985926432,0.9565217391304348,-0.38179094965343113
OULB,1,OU,True,4.657953605383123,0.20251972197317927,0.17803351438094367,1.0,-0.32230591999130975
OULB,1,OULB,True,4.2226334843447635,0.18359276018890275,0.18403590690272603,1.0,-0.31032585749228764
OULB,2,OU,True,3.101539563209516,0.1348495462265007,0.1991794085442306,1.0,-0.24250149526207246
OULB,2,OULB,True,3.1259060050552336,0.1359089567415319,0.19949094575228762,1.0,-0.2592861710074492
OULB,3,OU,True,-6.726424649481179,-0.29245324562961644,0.32482824635983365,0.9130434782608695,-0.35871806992922073
OULB,3,OULB,True,-6.303972417608623,-0.2740857572873314,0.3216773453690694,0.9130434782608695,-0.3489124392963277
OULB,4,OU,True,2.062056219095627,0.089654618221549,0.2211062194478056,0.9565217391304348,-0.5227369192714107
OULB,4,OULB,True,2.0883986330037576,0.09079994056538077,0.2205772490611363,0.9565217391304348,-0.4904970597803823
OULB,5,OU,True,-10.094178248798347,-0.4388773151651455,0.34516519762909253,0.8695652173913043,-0.6150015228977563
OULB,5,OULB,True,-10.498020037176211,-0.45643565379027,0.3473670229672865,0.8695652173913043,-0.6060517276547085
OULB,6,OU,True,-5.611841025489683,-0.24399308806476885,0.31664419635334284,0.9130434782608695,-0.4858426321473553
OULB,6,OULB,True,-5.582309901134701,-0.24270912613629134,0.31638856817487654,0.9130434782608695,-0.4508697723937953
OULB,7,OU,True,0.02001278971585785,0.0008701212919938195,0.25565730093103123,1.0,-0.30380569493500637
OULB,7,OULB,True,-0.25382039002724754,-0.011035669131619458,0.25830243052836965,1.0,-0.27557214159698357
OULB,8,OU,True,1.0510898776616908,0.04569955989833439,0.23223961419684827,0.9565217391304348,-0.33561702950337763
OULB,8,OULB,True,1.2457476082414178,0.0541629394887573,0.23130259058164732,0.9565217391304348,-0.2932070340793161
OULB,9,OU,True,-1.81950896483283,-0.07910908542751435,0.27147565328544465,0.9130434782608695,-0.5629423313127894
OULB,9,OULB,True,-1.7827218320698712,-0.0775096448726031,0.2715724104683058,0.9130434782608695,-0.5508100334883577
OULB,10,OU,True,-9.141789320559232,-0.39746910089387966,0.33435006151987035,0.8260869565217391,-0.533809529583631
OULB,10,OULB,True,-8.836850781222568,-0.38421090353141596,0.33186318766036077,0.8260869565217391,-0.5509235760039672
