generator,difficulty,test_id,selected_model,test_elpd,test_elpd_per_obs,test_rmse,coverage95,residual_acf1,correct
Nonlinear,Difficult,0,OU+B,-8.33982980620057,-0.7581663460182336,0.4929713821404765,0.9090909090909091,-0.629484017486738,
Nonlinear,Difficult,1,OU+T,-8.657297368222233,-0.7870270334747484,0.5156928671742027,1.0,-0.5023873622658268,
Nonlinear,Difficult,2,OU+B,-5.253655474827179,-0.47760504316610713,0.2915625982049602,1.0,-0.3468789035379195,
Nonlinear,Difficult,3,OULB,-12.220501983100354,-1.1109547257363959,0.6961268546117918,0.9090909090909091,-0.2745443915257945,
Nonlinear,Difficult,4,OU,-11.985990238505348,-1.089635476227759,0.7155599960251121,0.9090909090909091,-0.3126797396620765,
Nonlinear,Difficult,5,OU+T,-13.854700614104106,-1.2595182376458278,0.8004344172610579,0.8181818181818182,-0.18063800313118766,
Nonlinear,Difficult,6,OULB,-9.75021996518182,-0.8863836331983473,0.5935122641198117,1.0,0.06584733577840532,
Nonlinear,Difficult,7,OU,-9.265472894104967,-0.8423157176459061,0.5442255305277991,0.9090909090909091,-0.21574614881291299,
Nonlinear,Difficult,8,OULB,-9.728633793386972,-0.8844212539442702,0.5278625506104381,1.0,-0.23839414623389668,
Nonlinear,Difficult,9,OU+L,-11.96850115914887,-1.0880455599226246,0.7482676336053222,0.8181818181818182,-0.1851563600557409,
Nonlinear,Difficult,10,OU+B,-13.83091613863219,-1.2573560126029264,0.831044595791497,0.8181818181818182,0.1648209241240641,
Nonlinear,Difficult,11,OU+T,-12.991179862527208,-1.181016351138837,0.7563168897571972,1.0,-0.3138438639668211,
Nonlinear,Difficult,12,OU+B,-8.546466514518402,-0.7769515013198547,0.5900255538697768,0.9090909090909091,-0.38292447204222374,
Nonlinear,Difficult,13,OULB,-13.915695440101233,-1.2650632218273847,0.7961839475012532,0.9090909090909091,-0.47393397973109,
Nonlinear,Difficult,14,OULB,-10.871389368941058,-0.988308124449187,0.6180308376548094,1.0,-0.1984351343437824,
Nonlinear,Difficult,15,OU+B,-7.841840203700435,-0.7128945639727667,0.5010553739064866,1.0,-0.10333111858933547,
Nonlinear,Difficult,16,OU+T,-9.811507112217308,-0.8919551920197553,0.5930643126915092,1.0,-0.21757252446780234,
Nonlinear,Difficult,17,OU,-16.930824641267716,-1.5391658764788831,0.9178408417053587,0.8181818181818182,-0.41088614532838663,
Nonlinear,Difficult,18,OU+L,-11.81535689406846,-1.0741233540062236,0.7425503734903507,0.9090909090909091,-0.2650460323585994,
Nonlinear,Difficult,19,OU+T,-8.748279456363274,-0.7952981323966614,0.5108342262955824,1.0,-0.4220816340799595,
Nonlinear,Difficult,20,OU+B,-8.531162465696438,-0.7755602241542217,0.5792504612305895,0.9090909090909091,-0.3435687591639758,
Nonlinear,Difficult,21,OU+B,-8.537095131710844,-0.7760995574282585,0.6394226817769725,0.9090909090909091,-0.1939458690203812,
