generator,difficulty,fitted_model,n_train_trajectories,fit_success,train_loglik,n_iter,optimizer_message,theta_hat,mu_hat,base_mu_hat,branch_sep_hat,delta_hat,sigma_hat,q_hat,lambda_hat,sJ_hat,obs_sd_hat
OU,Easy,OU,10,True,770.7550038605292,13,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,2.0,-0.007161388268456466,,,,0.05,,,,0.05069694983812501
OU,Easy,OU+T,10,True,771.2566125311682,37,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,2.0,-0.015006299477491956,,,0.01581266663531478,0.05,,,,0.050661155638165485
OU,Easy,OU+L,10,True,770.7422677382953,31,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,2.0,-0.007175212847096289,,,,0.05,,0.005,0.05,0.050685937655409005
OU,Easy,OU+B,10,True,768.6164991745826,31,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,2.0,,-0.007114906495803687,0.05,,0.05,1.0,,,0.05065047653926846
OU,Easy,OULB,10,True,768.6426218002825,82,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,2.0,,-0.014697055136420244,0.05,0.015187584327195776,0.05,0.08779797526887693,0.005,0.05,0.050691843829284065
OU,Intermediate,OU,10,True,-12.528175891359629,20,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,2.0,0.02040212728138198,,,,0.2971537430406553,,,,0.1945967504448926
OU,Intermediate,OU+T,10,True,-12.40217257060026,26,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,2.0,0.005371168774453128,,,0.029808068681762032,0.2974468781593804,,,,0.19440216146134712
OU,Intermediate,OU+L,10,True,-12.528427067143479,36,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,2.0,0.020402581654246108,,,,0.2970706028033769,,0.005,0.05,0.19460233135126054
OU,Intermediate,OU+B,10,True,-12.65861865185175,47,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,2.0,,0.02028834021348575,0.05,,0.29412254098279217,0.005,,,0.1950875691603293
OU,Intermediate,OULB,10,True,-12.487527138148293,48,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,2.0,,0.005333044679751337,0.05,0.02991974443112411,0.2948342202063214,1.0,0.005,0.05,0.19469202195116864
OU,Difficult,OU,10,True,-76.16956305845603,29,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,2.0,0.06481409901346233,,,,0.05,,,,0.44981193345780074
OU,Difficult,OU+T,10,True,-75.81147897181212,33,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,2.0,0.11435487611716859,,,-0.0994065545215172,0.05,,,,0.44834928417280834
