component,event_distance,replicate,treatment_time,endogenous_event_time,selected_model,component_identified,selected_heldout_elpd
Treatment,0.0,0,5.0,5.0,OULB,1.0,-0.13847252471146332
Treatment,0.0,1,5.0,5.0,OU+T,1.0,1.092042546990641
Treatment,0.0,2,5.0,5.0,OULB,1.0,-0.13711412312446003
Treatment,0.0,3,5.0,5.0,OU,0.0,-0.0992341997088877
Treatment,0.0,4,5.0,5.0,OU+T,1.0,-2.022040094146333
Treatment,0.0,5,5.0,5.0,OU+L,0.0,0.6951753604180326
Treatment,0.0,6,5.0,5.0,OU+B,0.0,-1.0112242168805534
Treatment,0.0,7,5.0,5.0,OULB,1.0,-0.9425855321134913
Treatment,0.0,8,5.0,5.0,OULB,1.0,0.7727158058101276
Treatment,0.0,9,5.0,5.0,OU+B,0.0,-3.4068003333152426
Treatment,0.0,10,5.0,5.0,OU,0.0,1.453372182764633
Treatment,0.0,11,5.0,5.0,OULB,1.0,-2.8663829912624164
Treatment,0.0,12,5.0,5.0,OU+B,0.0,-1.4518286855672533
Treatment,0.0,13,5.0,5.0,OU+L,0.0,-0.2246712102025942
Treatment,0.0,14,5.0,5.0,OU,0.0,-0.3604253346497801
Treatment,0.0,15,5.0,5.0,OU+T,1.0,0.30541333572906393
Treatment,0.0,16,5.0,5.0,OU+B,0.0,0.548453056664951
Treatment,0.0,17,5.0,5.0,OU,0.0,-3.452296367990871
Treatment,0.0,18,5.0,5.0,OULB,1.0,-7.435892322131583
Treatment,0.0,19,5.0,5.0,OULB,1.0,-2.3462241915804074
Treatment,0.0,20,5.0,5.0,OU,0.0,-3.4210921343271865
Treatment,0.0,21,5.0,5.0,OU,0.0,-2.2196561978830402
Treatment,0.0,22,5.0,5.0,OU+L,0.0,0.8001498917532388
Treatment,0.0,23,5.0,5.0,OU+T,1.0,-4.22211244541295
Treatment,0.0,24,5.0,5.0,OULB,1.0,-10.212466560109313
Treatment,0.5,0,5.0,5.5,OU,0.0,0.6293533765448593
Treatment,0.5,1,5.0,5.5,OU,0.0,1.2466143693871152
Treatment,0.5,2,5.0,5.5,OULB,1.0,-6.2567570615284005
Treatment,0.5,3,5.0,5.5,OU+T,1.0,0.35699335867752624
Treatment,0.5,4,5.0,5.5,OULB,1.0,-1.0932399218047264
Treatment,0.5,5,5.0,5.5,OU+T,1.0,1.0853008814975058
Treatment,0.5,6,5.0,5.5,OU,0.0,0.5307901147509528
Treatment,0.5,7,5.0,5.5,OU,0.0,-5.003945604614846
Treatment,0.5,8,5.0,5.5,OU+T,1.0,-1.2469068229081974
Treatment,0.5,9,5.0,5.5,OU,0.0,-0.24595399377008342
Treatment,0.5,10,5.0,5.5,OU+T,1.0,-5.429495991281426
Treatment,0.5,11,5.0,5.5,OU,0.0,-1.6323409313308457
Treatment,0.5,12,5.0,5.5,OU+T,1.0,-2.742506374467614
Treatment,0.5,13,5.0,5.5,OU,0.0,0.9269282258657177
Treatment,0.5,14,5.0,5.5,OU,0.0,0.7074503243746098
Treatment,0.5,15,5.0,5.5,OU+T,1.0,0.7393875381343112
Treatment,0.5,16,5.0,5.5,OU,0.0,0.11290539236254271
Treatment,0.5,17,5.0,5.5,OU+T,1.0,0.803891214552158
Treatment,0.5,18,5.0,5.5,OU+T,1.0,-4.859901473065265
Treatment,0.5,19,5.0,5.5,OU,0.0,-1.378269853115292
Treatment,0.5,20,5.0,5.5,OULB,1.0,-2.1082016067021723
Treatment,0.5,21,5.0,5.5,OU,0.0,0.5256460750647577
Treatment,0.5,22,5.0,5.5,OU+B,0.0,-3.5596989639858574
Treatment,0.5,23,5.0,5.5,OU+T,1.0,1.4114454408087482
Treatment,0.5,24,5.0,5.5,OU+T,1.0,-5.608826223014157
Treatment,1.0,0,5.0,6.0,OU+T,1.0,-2.835406362353095
Treatment,1.0,1,5.0,6.0,OU+L,0.0,-1.9346200320609166
Treatment,1.0,2,5.0,6.0,OU,0.0,1.2358736794682423
Treatment,1.0,3,5.0,6.0,OULB,1.0,-0.6665521875562296
Treatment,1.0,4,5.0,6.0,OU+T,1.0,0.21416759735585367
Treatment,1.0,5,5.0,6.0,OU+L,0.0,-1.143274750272481
Treatment,1.0,6,5.0,6.0,OU,0.0,1.7123901460190432
Treatment,1.0,7,5.0,6.0,OU,0.0,2.4481555181641577
Treatment,1.0,8,5.0,6.0,OULB,1.0,-0.38592598174910087
Treatment,1.0,9,5.0,6.0,OU,0.0,-2.429720332692561
Treatment,1.0,10,5.0,6.0,OU+L,0.0,-0.14004000565268515
Treatment,1.0,11,5.0,6.0,OU+L,0.0,-0.20035324777132416
Treatment,1.0,12,5.0,6.0,OU+B,0.0,-3.718384069493839
Treatment,1.0,13,5.0,6.0,OU+L,0.0,1.4949480576683185
Treatment,1.0,14,5.0,6.0,OU,0.0,1.904406507466761
Treatment,1.0,15,5.0,6.0,OU,0.0,0.910038031768907
Treatment,1.0,16,5.0,6.0,OU+L,0.0,-0.9703466888383032
Treatment,1.0,17,5.0,6.0,OU,0.0,0.6772743874692218
Treatment,1.0,18,5.0,6.0,OU,0.0,-1.394689060377953
Treatment,1.0,19,5.0,6.0,OULB,1.0,-2.9367044862663185
Treatment,1.0,20,5.0,6.0,OU+T,1.0,-2.640466405218172
Treatment,1.0,21,5.0,6.0,OU+L,0.0,-0.8111051572868953
Treatment,1.0,22,5.0,6.0,OU+T,1.0,0.6852404351462648
Treatment,1.0,23,5.0,6.0,OU+B,0.0,-0.25663219372341095
Treatment,1.0,24,5.0,6.0,OULB,1.0,-0.7007635857168566
Treatment,1.5,0,5.0,6.5,OULB,1.0,-4.897005453903259
Treatment,1.5,1,5.0,6.5,OU,0.0,-0.1266259416677855
Treatment,1.5,2,5.0,6.5,OU+L,0.0,-3.816264268817095
Treatment,1.5,3,5.0,6.5,OU,0.0,1.3233327698934343
Treatment,1.5,4,5.0,6.5,OU+B,0.0,-7.583454362649748
Treatment,1.5,5,5.0,6.5,OU+T,1.0,2.318419163977578
Treatment,1.5,6,5.0,6.5,OU+L,0.0,-0.10159068128846388
Treatment,1.5,7,5.0,6.5,OU+L,0.0,1.1024066715701988
Treatment,1.5,8,5.0,6.5,OU+L,0.0,0.6418658081084998
Treatment,1.5,9,5.0,6.5,OU+B,0.0,1.540855746697916
Treatment,1.5,10,5.0,6.5,OU,0.0,-2.787129089846741
Treatment,1.5,11,5.0,6.5,OULB,1.0,-0.9183915117963264
Treatment,1.5,12,5.0,6.5,OU+B,0.0,-0.018344617714617706
Treatment,1.5,13,5.0,6.5,OU,0.0,-1.8930429388765022
Treatment,1.5,14,5.0,6.5,OU,0.0,1.7266309888286437
Treatment,1.5,15,5.0,6.5,OU,0.0,-0.2072056398661697
Treatment,1.5,16,5.0,6.5,OULB,1.0,-0.5235287640433461
Treatment,1.5,17,5.0,6.5,OU,0.0,1.7613687118480246
Treatment,1.5,18,5.0,6.5,OU+L,0.0,-0.15821162527132016
Treatment,1.5,19,5.0,6.5,OU+B,0.0,-0.495875339718327
Treatment,1.5,20,5.0,6.5,OULB,1.0,-4.060395086657602
Treatment,1.5,21,5.0,6.5,OULB,1.0,-9.308025048111295
Treatment,1.5,22,5.0,6.5,OU+T,1.0,-2.4589262794737623
Treatment,1.5,23,5.0,6.5,OU+B,0.0,-0.5263511600435001
Treatment,1.5,24,5.0,6.5,OU+B,0.0,-0.7747997326231815
Treatment,2.0,0,5.0,7.0,OU,0.0,1.2378026158543856
Treatment,2.0,1,5.0,7.0,OU+L,0.0,0.35723924115454364
Treatment,2.0,2,5.0,7.0,OULB,1.0,-0.7094400593386297
Treatment,2.0,3,5.0,7.0,OU+T,1.0,-1.6204192445970138
Treatment,2.0,4,5.0,7.0,OULB,1.0,0.8473580259712294
Treatment,2.0,5,5.0,7.0,OU,0.0,0.2189433718873821
Treatment,2.0,6,5.0,7.0,OU,0.0,2.2857609179048333
Treatment,2.0,7,5.0,7.0,OU+L,0.0,-1.277126754338163
Treatment,2.0,8,5.0,7.0,OU+T,1.0,-0.1945037964829861
Treatment,2.0,9,5.0,7.0,OU+T,1.0,0.9418462307606665
Treatment,2.0,10,5.0,7.0,OU+T,1.0,-0.5437842895342264
Treatment,2.0,11,5.0,7.0,OU,0.0,1.3156122642049697
Treatment,2.0,12,5.0,7.0,OULB,1.0,-1.1991228750649052
Treatment,2.0,13,5.0,7.0,OU,0.0,0.44421736180842575
Treatment,2.0,14,5.0,7.0,OU,0.0,2.4082758941533204
Treatment,2.0,15,5.0,7.0,OU+T,1.0,-0.6930930605498253
Treatment,2.0,16,5.0,7.0,OU+T,1.0,0.49286140821353974
Treatment,2.0,17,5.0,7.0,OU+T,1.0,2.238118874101654
Treatment,2.0,18,5.0,7.0,OU+B,0.0,-5.79552627085108
Treatment,2.0,19,5.0,7.0,OU+B,0.0,-2.403378780975733
Treatment,2.0,20,5.0,7.0,OU,0.0,-10.416370591354001
Treatment,2.0,21,5.0,7.0,OU,0.0,-0.39268546322761266
Treatment,2.0,22,5.0,7.0,OU+T,1.0,2.4482425208071055
Treatment,2.0,23,5.0,7.0,OU+T,1.0,0.5275314377283292
Treatment,2.0,24,5.0,7.0,OU+T,1.0,1.0925281375718692
Treatment,2.5,0,5.0,7.5,OULB,1.0,-0.2759755221816428
Treatment,2.5,1,5.0,7.5,OU,0.0,0.27748437032297735
Treatment,2.5,2,5.0,7.5,OU+B,0.0,-2.0022127124252616
Treatment,2.5,3,5.0,7.5,OU+T,1.0,-0.2707803763682266
Treatment,2.5,4,5.0,7.5,OU,0.0,-2.5964999038300185
Treatment,2.5,5,5.0,7.5,OU,0.0,0.5619813066407486
Treatment,2.5,6,5.0,7.5,OU,0.0,-0.9138826726552945
