generator,difficulty,dataset_role,trajectory_id,obs_index,time,latent_state,observed_state,treatment,true_branch,jump_event,true_theta,true_sigma,true_obs_noise,true_treatment_shift,true_jump_time,true_jump_size,true_jump_lambda,true_jump_scale,true_branch_time,true_branch_sep,true_branch_q,true_n_branch_switches
OU,Easy,train,0,0,0.0,-0.01760270907124768,0.03348734836790018,0,0,0,0.65,0.16,0.05,0.0,,,0.0,0.0,,0.0,0.0,0
OU,Easy,train,0,1,0.14614080488710823,0.0,-0.11620738104552478,0,0,0,0.65,0.16,0.05,0.0,,,0.0,0.0,,0.0,0.0,0
OU,Easy,train,0,2,0.24219053056995565,0.0,-0.03878312487534201,0,0,0,0.65,0.16,0.05,0.0,,,0.0,0.0,,0.0,0.0,0
OU,Easy,train,0,3,0.5400707754585976,0.0,0.035836933768153244,0,0,0,0.65,0.16,0.05,0.0,,,0.0,0.0,,0.0,0.0,0
OU,Easy,train,0,4,0.5847571070711644,0.0,0.019064080498846354,0,0,0,0.65,0.16,0.05,0.0,,,0.0,0.0,,0.0,0.0,0
OU,Easy,train,0,5,0.8351853357535488,0.0,-0.011905492765213554,0,0,0,0.65,0.16,0.05,0.0,,,0.0,0.0,,0.0,0.0,0
OU,Easy,train,0,6,1.1462534647435962,0.0,-0.03358224635301737,0,0,0,0.65,0.16,0.05,0.0,,,0.0,0.0,,0.0,0.0,0
OU,Easy,train,0,7,1.3012032181347721,0.0,-0.011304983002676728,0,0,0,0.65,0.16,0.05,0.0,,,0.0,0.0,,0.0,0.0,0
OU,Easy,train,0,8,1.4820390210047552,0.0,0.014898618904177563,0,0,0,0.65,0.16,0.05,0.0,,,0.0,0.0,,0.0,0.0,0
OU,Easy,train,0,9,1.687239241716425,0.0,0.016331761212105497,0,0,0,0.65,0.16,0.05,0.0,,,0.0,0.0,,0.0,0.0,0
OU,Easy,train,0,10,1.6956034539506615,0.0,-0.026808000484973973,0,0,0,0.65,0.16,0.05,0.0,,,0.0,0.0,,0.0,0.0,0
OU,Easy,train,0,11,1.7009231230220867,0.0,-0.08452689279970665,0,0,0,0.65,0.16,0.05,0.0,,,0.0,0.0,,0.0,0.0,0
OU,Easy,train,0,12,1.8265825972462246,0.0,0.005099271432418417,0,0,0,0.65,0.16,0.05,0.0,,,0.0,0.0,,0.0,0.0,0
OU,Easy,train,0,13,1.9749246151256095,0.0,0.04623283741523858,0,0,0,0.65,0.16,0.05,0.0,,,0.0,0.0,,0.0,0.0,0
OU,Easy,train,0,14,2.129259892068771,0.0,-0.028191884560176572,0,0,0,0.65,0.16,0.05,0.0,,,0.0,0.0,,0.0,0.0,0
OU,Easy,train,0,15,2.2301378830236116,0.0,0.022226615943577485,0,0,0,0.65,0.16,0.05,0.0,,,0.0,0.0,,0.0,0.0,0
OU,Easy,train,0,16,2.2452139524305803,0.0,-0.026511683226594713,0,0,0,0.65,0.16,0.05,0.0,,,0.0,0.0,,0.0,0.0,0
OU,Easy,train,0,17,2.8965460532328335,0.0,0.057421445782958075,0,0,0,0.65,0.16,0.05,0.0,,,0.0,0.0,,0.0,0.0,0
OU,Easy,train,0,18,3.00856356328096,0.0,0.03341767290422075,0,0,0,0.65,0.16,0.05,0.0,,,0.0,0.0,,0.0,0.0,0
