replicate_id,seed,n_observations,true_mu,estimated_mu,mu_lower_95,mu_upper_95,true_theta,estimated_theta,theta_lower_95,theta_upper_95,true_sigma,estimated_sigma,sigma_lower_95,sigma_upper_95,fit_success,convergence_status,runtime_seconds,sequence_index,spawn_key,child_state_uint32,rng_reconstruction,runtime_status
OU_N025_R001,20260805,25,1.09351987367066,1.20313530334995,1.11904301141998,1.28722759527992,0.347251933796558,2.65025888121403,0.175659484560555,5.12485827786751,0.309411680479581,0.303721590106263,0.188814152264931,0.418629027947596,TRUE,successful_fit,,0,"(0,)",1117257062,np.random.default_rng(np.random.SeedSequence(20260805).spawn(360)[0]),not_recorded_by_Figure_S2_script
OU_N025_R002,20260805,25,-0.504593942159847,-0.400646039964447,-0.657797727753,-0.143494352175894,0.785773962469556,0.825012314720412,0,1.79124075597825,0.33703915605056,0.317167323439914,0.214345528392368,0.419989118487461,TRUE,successful_fit,,1,"(1,)",1739813875,np.random.default_rng(np.random.SeedSequence(20260805).spawn(360)[1]),not_recorded_by_Figure_S2_script
OU_N025_R003,20260805,25,-0.1447739221372,-2.07775733478314,-13.6966491028218,9.54113443325551,0.331479728650914,0.0879905480677109,0,0.572504056217789,0.56962330534057,0.537194214015451,0.376339954917662,0.69804847311324,TRUE,successful_fit,,2,"(2,)",1419349886,np.random.default_rng(np.random.SeedSequence(20260805).spawn(360)[2]),not_recorded_by_Figure_S2_script
OU_N025_R004,20260805,25,1.44687596890097,2.16379529980114,1.85067507142276,2.47691552817952,0.54627454466371,2.09470042582275,0.237342612437843,3.95205823920765,0.732855797798868,0.95848822234352,0.61071850719755,1.30625793748949,TRUE,successful_fit,,3,"(3,)",1077354921,np.random.default_rng(np.random.SeedSequence(20260805).spawn(360)[3]),not_recorded_by_Figure_S2_script
OU_N025_R005,20260805,25,-0.263807927802969,-0.703575078179786,-1.21771506801142,-0.189435088348154,0.535455151587895,0.667120625609657,0,1.39928783285583,0.57083262416467,0.514008436692485,0.354218305908002,0.673798567476967,TRUE,successful_fit,,4,"(4,)",1178390433,np.random.default_rng(np.random.SeedSequence(20260805).spawn(360)[4]),not_recorded_by_Figure_S2_script
OU_N025_R006,20260805,25,-1.10502909795443,-1.28655464324083,-1.5622500174522,-1.01085926902945,0.872308209072298,0.765561526689694,0,1.69724635999887,0.368327784610683,0.335350341880142,0.226093965489798,0.444606718270487,TRUE,successful_fit,,5,"(5,)",1139688365,np.random.default_rng(np.random.SeedSequence(20260805).spawn(360)[5]),not_recorded_by_Figure_S2_script
OU_N025_R007,20260805,25,1.43086238717608,1.11323088514046,0.439565784606149,1.78689598567477,1.07302192047089,0.529290891819679,0,1.26358420307708,0.853341501627137,0.565843483069031,0.387797255317391,0.743889710820671,TRUE,successful_fit,,6,"(6,)",3613669329,np.random.default_rng(np.random.SeedSequence(20260805).spawn(360)[6]),not_recorded_by_Figure_S2_script
OU_N025_R008,20260805,25,0.0725906346651163,-0.134919151448259,-0.424911274791142,0.155072971894623,0.83184024605786,2.39015162957026,0,4.95851174309768,0.77069951253946,1.00051701928081,0.579534897150122,1.4214991414115,TRUE,successful_fit,,7,"(7,)",4057879167,np.random.default_rng(np.random.SeedSequence(20260805).spawn(360)[7]),not_recorded_by_Figure_S2_script
OU_N025_R009,20260805,25,-0.509051061295275,-0.810730472545958,-1.10328789154573,-0.518173053546187,0.435770062028074,0.739416730087311,0,1.80460482872106,0.294900224289754,0.323401549556678,0.21647838282464,0.430324716288715,TRUE,successful_fit,,8,"(8,)",497110069,np.random.default_rng(np.random.SeedSequence(20260805).spawn(360)[8]),not_recorded_by_Figure_S2_script
OU_N025_R010,20260805,25,0.979943686546644,0.953419755583691,0.891038640369703,1.01580087079768,1.49043285409236,5.17068149141075,0.11314279356009,10.2282201892614,0.383816249784163,0.381284158476838,0.212509430630951,0.550058886322725,TRUE,successful_fit,,9,"(9,)",2986755770,np.random.default_rng(np.random.SeedSequence(20260805).spawn(360)[9]),not_recorded_by_Figure_S2_script
OU_N025_R011,20260805,25,0.595330972036864,0.445313056028699,0.208465416375778,0.682160695681619,0.923107515492418,1.15904151953563,0,2.42184414758665,0.416477245244325,0.429751678065582,0.281078631397813,0.578424724733352,TRUE,successful_fit,,10,"(10,)",3703391142,np.random.default_rng(np.random.SeedSequence(20260805).spawn(360)[10]),not_recorded_by_Figure_S2_script
