replicate_id,perturbation_type,perturbation_value,observation_noise_sd,sampling_interval_cv,missing_percentage,number_of_lineages,latent_dimension,jump_recovery,branch_accuracy,predictive_r2,runtime_seconds
IRREGULARITY_0p0_R01,irregularity,0.0,0.15,0.0,5.0,120,4,1.0,1.0,0.8285689356759258,0.006859833249109175
IRREGULARITY_0p0_R02,irregularity,0.0,0.15,0.0,5.0,120,4,1.0,1.0,0.8284226123548766,0.006859833249109175
IRREGULARITY_0p0_R03,irregularity,0.0,0.15,0.0,5.0,120,4,1.0,1.0,0.8239247138799348,0.006859833249109175
IRREGULARITY_0p0_R04,irregularity,0.0,0.15,0.0,5.0,120,4,1.0,1.0,0.8422082909102178,0.006859833249109175
IRREGULARITY_0p0_R05,irregularity,0.0,0.15,0.0,5.0,120,4,1.0,1.0,0.8428467259334795,0.006859833249109175
IRREGULARITY_0p0_R06,irregularity,0.0,0.15,0.0,5.0,120,4,1.0,1.0,0.8378048591959724,0.006859833249109175
IRREGULARITY_0p0_R07,irregularity,0.0,0.15,0.0,5.0,120,4,1.0,1.0,0.8368262345682935,0.006859833249109175
IRREGULARITY_0p0_R08,irregularity,0.0,0.15,0.0,5.0,120,4,1.0,1.0,0.8392639974402871,0.006859833249109175
IRREGULARITY_0p0_R09,irregularity,0.0,0.15,0.0,5.0,120,4,1.0,1.0,0.8428699212448579,0.006859833249109175
IRREGULARITY_0p0_R10,irregularity,0.0,0.15,0.0,5.0,120,4,1.0,1.0,0.832767012522844,0.006859833249109175
IRREGULARITY_0p0_R11,irregularity,0.0,0.15,0.0,5.0,120,4,1.0,1.0,0.8300124438460743,0.006859833249109175
IRREGULARITY_0p0_R12,irregularity,0.0,0.15,0.0,5.0,120,4,1.0,1.0,0.8343274222799651,0.006859833249109175
IRREGULARITY_0p0_R13,irregularity,0.0,0.15,0.0,5.0,120,4,1.0,1.0,0.832910024940534,0.006859833249109175
IRREGULARITY_0p0_R14,irregularity,0.0,0.15,0.0,5.0,120,4,1.0,1.0,0.8416503149798508,0.006859833249109175
IRREGULARITY_0p0_R15,irregularity,0.0,0.15,0.0,5.0,120,4,1.0,1.0,0.8435325997325379,0.006859833249109175
IRREGULARITY_0p0_R16,irregularity,0.0,0.15,0.0,5.0,120,4,1.0,1.0,0.8420986444676887,0.006859833249109175
IRREGULARITY_0p0_R17,irregularity,0.0,0.15,0.0,5.0,120,4,1.0,1.0,0.8297573307483217,0.006859833249109175
IRREGULARITY_0p0_R18,irregularity,0.0,0.15,0.0,5.0,120,4,1.0,1.0,0.8343854380480552,0.006859833249109175
IRREGULARITY_0p0_R19,irregularity,0.0,0.15,0.0,5.0,120,4,1.0,1.0,0.8169937888835233,0.006859833249109175
IRREGULARITY_0p0_R20,irregularity,0.0,0.15,0.0,5.0,120,4,1.0,1.0,0.8383333117965024,0.006859833249109175
IRREGULARITY_0p0_R21,irregularity,0.0,0.15,0.0,5.0,120,4,1.0,1.0,0.8378816773614026,0.006859833249109175
IRREGULARITY_0p0_R22,irregularity,0.0,0.15,0.0,5.0,120,4,1.0,1.0,0.8378161325735151,0.006859833249109175
IRREGULARITY_0p0_R23,irregularity,0.0,0.15,0.0,5.0,120,4,1.0,1.0,0.8484608293002425,0.006859833249109175
IRREGULARITY_0p0_R24,irregularity,0.0,0.15,0.0,5.0,120,4,1.0,1.0,0.8427862584054309,0.006859833249109175
IRREGULARITY_0p0_R25,irregularity,0.0,0.15,0.0,5.0,120,4,1.0,1.0,0.8430194184805813,0.006859833249109175
